timestamp,reqType,service,rt,numberOfReqs 
1421440838893,local,checkIfAvailable,834,1
1421440839081,local,downloadVideo,186,1
1421440839086,local,getVideoResource,1028,1
1421440862917,local,scaleVideo,23830,1
1421440865417,local,transcodeVideo,2499,1
1421440865457,local,bitDepthReduction,39,1
1421440865457,local,videoProvisioner,27400,1
1421440933917,local,checkIfAvailable,784,1
1421440936161,local,downloadVideo,2243,1
1421440936161,local,getVideoResource,3029,1
1421440950005,local,scaleVideo,13843,1
1421440950077,local,transcodeVideo,71,1
1421440950573,local,bitDepthReduction,495,1
1421440950574,local,videoProvisioner,17442,1
1421440969473,local,checkIfAvailable,1308,1
1421440969681,local,downloadVideo,207,1
1421440969682,local,getVideoResource,1518,1
1421440991609,local,scaleVideo,21927,1
1421440991839,local,checkIfAvailable,1152,1
1421440993317,local,transcodeVideo,1707,1
1421440993942,local,bitDepthReduction,624,1
1421440994009,local,downloadVideo,2169,1
1421440994010,local,getVideoResource,3325,1
1421440994373,local,checkIfSubtitlesAvailable,428,1
1421440994937,local,checkIfSubtitlesExists,563,1
1421440995781,local,getDefaultSubtitle,843,1
1421440995782,local,getSubtitles,1838,1
1421440996126,local,applySubtitles,343,1
1421440996126,local,videoProvisioner,27963,1
1421441018525,local,scaleVideo,24515,1
1421441020585,local,transcodeVideo,2059,1
1421441020673,local,bitDepthReduction,87,1
1421441020673,local,videoProvisioner,29988,1
1421441035153,local,checkIfAvailable,452,1
1421441035301,local,downloadVideo,147,1
1421441035301,local,getVideoResource,600,1
1421441048651,local,checkIfAvailable,5191,1
1421441050601,local,downloadVideo,1949,1
1421441050602,local,getVideoResource,7143,1
1421441074096,local,scaleVideo,23493,1
1421441074145,local,transcodeVideo,48,1
1421441074537,local,bitDepthReduction,391,1
1421441074537,local,videoProvisioner,31078,1
1421441076029,local,checkIfAvailable,36,1
1421441078550,local,downloadVideo,2520,1
1421441078550,local,getVideoResource,2561,1
1421441100221,local,scaleVideo,21670,1
1421441100266,local,transcodeVideo,44,1
