timestamp,selflets 
1425025500686,0
1425025505686,0
1425025510686,0
1425025515686,0
1425025520686,0
1425025525686,0
1425025530686,0
1425025535686,0
1425025540687,0
1425025545686,0
1425025550686,0
1425025555686,0
1425025560686,0
1425025565686,0
1425025570686,0
1425025575686,0
1425025580686,0
1425025585686,0
1425025590686,0
1425025595686,0
1425025600686,0
1425025605686,0
1425025610686,0
1425025615686,3
1425025620686,3
1425025625686,3
1425025630687,3
1425025635686,3
1425025640686,3
1425025645687,3
1425025650686,3
1425025655686,3
1425025660686,3
1425025665686,3
1425025670686,3
1425025675686,3
1425025680687,3
1425025685686,3
1425025690686,3
1425025695686,3
1425025700686,3
1425025705686,3
1425025710686,3
1425025715686,3
1425025720686,3
1425025725686,3
1425025730687,3
1425025735686,3
1425025740687,3
1425025745686,3
1425025750686,3
1425025755686,3
1425025760687,3
1425025765686,3
1425025770686,3
1425025775686,3
1425025780686,3
1425025785686,3
1425025790686,3
1425025795686,3
1425025800686,3
1425025805686,3
1425025810687,3
1425025815686,3
1425025820686,3
1425025825686,3
1425025830686,3
1425025835686,3
1425025840686,3
1425025845686,3
1425025850687,3
1425025855686,3
1425025860687,3
1425025865686,3
1425025870686,3
1425025875687,3
1425025880686,3
1425025885687,3
1425025890686,3
1425025895686,3
1425025900686,3
1425025905686,3
1425025910686,3
1425025915687,3
1425025920686,3
1425025925686,3
1425025930686,3
1425025935686,3
1425025940686,3
1425025945687,3
1425025950686,3
1425025955686,3
1425025960686,3
1425025965686,3
1425025970687,3
1425025975686,3
1425025980686,3
1425025985686,3
1425025990686,3
1425025995687,5
1425026000686,6
1425026005687,6
1425026010686,6
1425026015686,6
1425026020686,6
1425026025686,6
1425026030687,6
1425026035686,6
1425026040686,6
1425026045686,6
1425026050686,6
1425026055687,6
1425026060686,6
1425026065686,6
1425026070686,6
1425026075686,6
1425026080686,6
1425026085686,6
1425026090686,6
1425026095686,6
1425026100687,6
1425026105686,6
1425026110686,6
1425026115686,6
1425026120686,6
1425026125686,6
1425026130686,6
1425026135686,6
1425026140686,6
1425026145686,6
1425026150686,6
1425026155687,6
1425026160686,6
1425026165687,6
1425026170686,6
1425026175686,6
1425026180686,6
1425026185686,6
1425026190686,6
1425026195686,6
1425026200686,6
1425026205687,6
1425026210686,6
1425026215686,6
1425026220687,6
1425026225686,6
1425026230686,6
1425026235687,6
1425026240686,6
1425026245686,6
1425026250687,6
1425026255686,6
1425026260686,6
1425026265687,6
1425026270686,6
1425026275687,6
1425026280686,6
1425026285686,6
1425026290687,6
1425026295686,6
1425026300687,6
1425026305686,6
1425026310686,6
1425026315686,6
1425026320686,6
1425026325687,6
1425026330686,7
1425026335686,7
1425026340687,7
1425026345686,7
1425026350686,7
1425026355686,7
1425026360686,7
1425026365686,7
1425026370686,7
1425026375686,8
1425026380686,8
1425026385687,9
1425026390686,9
1425026395687,9
1425026400686,9
1425026405686,9
1425026410687,9
1425026415687,9
1425026420686,9
1425026425686,9
1425026430686,9
1425026435686,9
1425026440687,9
1425026445686,9
1425026450686,9
1425026455686,9
1425026460687,9
1425026465686,9
1425026470686,9
1425026475686,9
1425026480686,9
1425026485687,9
1425026490686,9
1425026495686,9
1425026500687,9
1425026505686,9
1425026510686,9
1425026515686,9
1425026520686,9
1425026525686,9
1425026530687,9
1425026535686,9
1425026540686,9
1425026545687,9
1425026550686,9
1425026555686,9
1425026560686,9
1425026565686,9
1425026570687,9
1425026575686,9
1425026580686,9
1425026585687,9
1425026590686,9
1425026595686,9
1425026600686,9
1425026605686,9
1425026610686,9
1425026615686,9
1425026620687,9
1425026625686,9
1425026630687,9
1425026635686,9
1425026640686,9
1425026645686,9
1425026650686,9
1425026655686,9
1425026660687,9
1425026665686,9
1425026670686,9
1425026675687,9
1425026680686,9
1425026685686,9
1425026690686,9
1425026695686,9
1425026700686,9
1425026705686,9
1425026710686,9
1425026715686,9
1425026720686,9
1425026725687,9
1425026730686,9
1425026735687,9
1425026740686,9
1425026745686,9
1425026750686,9
1425026755686,9
1425026760686,9
1425026765686,9
1425026770686,9
1425026775686,9
1425026780686,9
1425026785686,9
1425026790686,9
1425026795686,9
1425026800686,9
1425026805687,9
1425026810686,9
1425026815687,9
1425026820686,9
1425026825686,9
1425026830686,9
1425026835686,9
1425026840686,9
1425026845687,9
1425026850686,9
1425026855686,9
1425026860686,10
1425026865686,10
1425026870686,10
1425026875686,10
1425026880686,10
1425026885686,10
1425026890686,10
1425026895686,11
1425026900686,11
1425026905686,11
1425026910686,11
1425026915686,11
1425026920686,11
1425026925687,11
1425026930686,11
1425026935686,11
1425026940687,12
1425026945686,12
1425026950686,12
1425026955687,12
1425026960686,12
1425026965686,12
1425026970686,12
1425026975686,12
1425026980686,12
1425026985686,12
1425026990686,12
1425026995686,12
1425027000687,12
1425027005686,12
1425027010686,12
