timestamp,selflet 
1423137853999,100
1423138008578,101
1423126400648,10
1423138172401,102
1423138183474,103
1423138202641,104
1423126865068,11
1423126896460,12
1423126937615,13
1423127174036,14
1423127190736,15
1423127190938,16
1423127476234,17
1423127509538,18
1423127560954,19
1423127782820,20
1423127848769,21
1423125621375,2
1423127850420,22
1423128085894,23
1423128117174,24
1423128129800,25
1423128453924,26
1423128591686,27
1423128596563,28
1423128799508,29
1423128814222,30
1423128883831,31
1423125619797,3
1423129580049,32
1423129593951,33
1423129612983,34
1423129976183,35
1423129987960,36
1423130199598,37
1423130374325,38
1423130823835,39
1423130830508,40
1423130944715,41
1423125621114,4
1423131242576,42
1423131298595,43
1423131311606,44
1423131672120,45
1423131827123,46
1423131839689,47
1423132131834,48
1423132269745,49
1423132287739,50
1423132441222,51
1423125969993,5
1423132446900,52
1423132471978,53
1423132754398,54
1423132798555,55
1423132819883,56
1423133051802,57
1423133058571,58
1423133065301,59
1423133363900,60
1423133395551,61
1423125978843,6
1423133405272,62
1423133667474,63
1423133673225,64
1423133679012,65
1423133974117,66
1423134009389,67
1423134011930,68
1423134276670,69
1423134284207,70
1423134293022,71
1423125982649,7
1423134601692,72
1423134630998,73
1423134648473,74
1423134986353,75
1423134988629,76
1423134993949,77
1423135322923,78
1423135324217,79
1423135345502,80
1423135658416,81
1423126326513,8
1423135673353,82
1423135696100,83
1423135969604,84
1423136113288,85
1423136114233,86
1423136334112,87
1423136413571,88
1423136424159,89
1423136740114,90
1423136799016,91
1423126337826,9
1423136815324,92
1423137052049,93
1423137098730,94
1423137100073,95
1423137473164,96
1423137527329,97
1423137534956,98
1423137843288,99
