timestamp,selflet 
1425059258932,100
1425059380794,101
1425047961410,10
1425059407783,102
1425059429809,103
1425059709135,104
1425059817264,105
1425059856352,106
1425048596423,11
1425049077616,12
1425048506972,13
1425049211185,14
1425048563724,15
1425048597261,16
1425049597762,17
1425049687126,18
1425049519711,19
1425050018573,20
1425049984223,21
1425047499674,2
1425050173405,22
1425049719623,23
1425050155386,24
1425053971093,25
1425050262800,26
1425054219631,27
1425050725290,28
1425054167325,29
1425057747333,30
1425050939889,31
1425047958985,3
1425058098503,32
1425051403679,33
1425058786987,34
1425055669333,35
1425058924461,36
1425051652842,37
1425051683663,38
1425051695021,39
1425059363712,40
1425056398685,41
1425051428054,4
1425059697285,42
1425056229776,43
1425056177343,44
1425056576520,45
1425057089035,46
1425057143678,47
1425057097405,48
1425054207792,49
1425053776111,51
1425047486012,5
1425053798207,52
1425057682606,53
1425054933735,54
1425054326402,55
1425058084108,56
1425055008484,58
1425055354093,59
1425055066359,61
1425047994483,6
1425058753097,62
1425055630852,63
1425055614006,64
1425055568785,65
1425059063789,66
1425059129447,67
1425059397577,69
1425055855267,70
1425056394326,71
1425047806226,7
1425056216247,72
1425056391167,73
1425056476458,74
1425056925580,75
1425057173749,76
1425057236388,77
1425057322324,78
1425057334752,79
1425057174455,80
1425057245336,81
1425055481775,8
1425057348255,83
1425057971113,84
1425057383015,85
1425057652079,86
1425057660775,87
1425057986259,88
1425058035519,89
1425058210976,91
1425048009758,9
1425058400100,92
1425058416196,93
1425058462213,94
1425058761041,95
1425058773166,96
1425059672873,98
1425059172056,99
