timestamp,reqType,service,rt,numberOfReqs 
1421787082731,local,checkIfAvailable,2008,1
1421787084054,local,downloadVideo,1318,1
1421787084055,local,getVideoResource,3333,1
1421787106977,local,scaleVideo,22921,1
1421787107285,local,transcodeVideo,307,1
1421787109081,local,bitDepthReduction,1794,1
1421787110241,local,checkIfSubtitlesAvailable,1158,1
1421787117401,local,checkIfSubtitlesExists,7158,1
1421787117721,local,getDefaultSubtitle,319,1
1421787117722,local,getSubtitles,8640,1
1421787117861,local,applySubtitles,138,1
1421787117863,local,videoProvisioner,37142,1
1421787245349,local,checkIfAvailable,739,1
1421787251913,local,downloadVideo,6562,1
1421787251914,local,getVideoResource,7305,1
1421787269117,local,checkIfAvailable,735,1
1421787270412,local,downloadVideo,1293,1
1421787270413,local,getVideoResource,2032,1
1421787275414,local,scaleVideo,23498,1
1421787277593,local,transcodeVideo,2178,1
1421787278113,local,bitDepthReduction,519,1
1421787278114,local,videoProvisioner,33505,1
1421787293237,local,scaleVideo,22822,1
1421787293309,local,transcodeVideo,71,1
1421787296085,local,bitDepthReduction,2775,1
1421787296086,local,videoProvisioner,27706,1
1421787328369,local,checkIfAvailable,1183,1
1421787328833,local,downloadVideo,463,1
1421787328834,local,getVideoResource,1648,1
1421787347396,local,checkIfAvailable,1441,1
1421787348380,local,scaleVideo,19545,1
1421787349176,local,transcodeVideo,795,1
1421787350352,local,bitDepthReduction,1175,1
1421787350352,local,videoProvisioner,23167,1
1421787351262,local,checkIfAvailable,298,1
1421787351340,local,downloadVideo,77,1
1421787351341,local,getVideoResource,378,1
1421787352925,local,downloadVideo,5527,1
1421787352926,local,getVideoResource,6972,1
1421787373740,local,scaleVideo,20813,1
1421787374328,local,transcodeVideo,587,1
1421787375353,local,bitDepthReduction,1024,1
1421787375354,local,videoProvisioner,29401,1
1421787433177,local,scaleVideo,81835,1
1421787434969,local,transcodeVideo,1791,1
1421787438621,local,bitDepthReduction,3651,1
1421787438622,local,videoProvisioner,87660,1
1421787110717,local,checkIfAvailable,1219,1
1421787111308,local,downloadVideo,586,1
1421787111309,local,getVideoResource,1812,1
1421787133943,local,scaleVideo,22633,1
1421787134339,local,transcodeVideo,395,1
1421787134611,local,bitDepthReduction,271,1
1421787135171,local,checkIfSubtitlesAvailable,558,1
1421787136383,local,checkIfSubtitlesExists,1211,1
1421787139735,local,getDefaultSubtitle,3351,1
1421787140663,local,translateSubtitleToLanguage,927,1
1421787140664,local,getSubtitles,6052,1
1421787143447,local,applySubtitles,2782,1
1421787143448,local,videoProvisioner,33952,1
1421787194651,local,checkIfAvailable,1338,1
1421787196531,local,downloadVideo,1878,1
1421787196532,local,getVideoResource,3220,1
1421787215899,local,scaleVideo,19366,1
1421787216127,local,transcodeVideo,227,1
