timestamp,reqType,service,rt,numberOfReqs 
1421772574449,local,checkIfAvailable,2295,1
1421772577811,local,downloadVideo,3358,1
1421772577812,local,getVideoResource,5659,1
1421772582678,local,checkIfAvailable,3030,1
1421772583225,local,downloadVideo,546,1
1421772583226,local,getVideoResource,3579,1
1421772604372,local,scaleVideo,21144,1
1421772604387,local,scaleVideo,26574,1
1421772604492,local,transcodeVideo,118,1
1421772605506,local,transcodeVideo,1118,1
1421772607156,local,bitDepthReduction,2663,1
1421772607158,local,videoProvisioner,27512,1
1421772607646,local,checkIfAvailable,1722,1
1421772607999,local,bitDepthReduction,2492,1
1421772608000,local,videoProvisioner,35848,1
1421772608671,local,downloadVideo,1024,1
1421772608672,local,getVideoResource,2752,1
1421772629095,local,scaleVideo,20422,1
1421772629715,local,transcodeVideo,619,1
1421772632115,local,bitDepthReduction,2399,1
1421772632116,local,videoProvisioner,26197,1
1421772683343,local,checkIfAvailable,1102,1
1421772686215,local,downloadVideo,2871,1
1421772686216,local,getVideoResource,3975,1
1421772696311,local,checkIfAvailable,304,1
1421772697131,local,downloadVideo,818,1
1421772697131,local,getVideoResource,1128,1
1421772712544,local,scaleVideo,26327,1
1421772714146,local,transcodeVideo,1601,1
1421772714238,local,bitDepthReduction,90,1
1421772714239,local,videoProvisioner,31999,1
1421772722963,local,scaleVideo,25831,1
1421772723167,local,transcodeVideo,203,1
1421772723767,local,bitDepthReduction,599,1
1421772723768,local,videoProvisioner,27765,1
1421772727535,local,checkIfAvailable,2751,1
1421772727763,local,downloadVideo,227,1
1421772727764,local,getVideoResource,2981,1
1421772740407,local,checkIfAvailable,609,1
1421772740407,local,getVideoResource,609,1
1421772751267,local,scaleVideo,23502,1
1421772751684,local,transcodeVideo,416,1
1421772751852,local,bitDepthReduction,167,1
1421772751852,local,videoProvisioner,27070,1
1421772765727,local,scaleVideo,25318,1
1421772766307,local,transcodeVideo,578,1
1421772768041,remote,transcodeVideo,824,1
1421772768559,local,bitDepthReduction,2251,1
1421772768560,local,videoProvisioner,28763,1
1421772780651,local,checkIfAvailable,816,1
1421772783087,local,downloadVideo,2435,1
1421772783088,local,getVideoResource,3254,1
1421772794887,local,scaleVideo,11798,1
1421772795423,local,transcodeVideo,535,1
1421772797630,local,checkIfAvailable,1530,1
1421772799501,local,bitDepthReduction,4076,1
1421772799620,local,checkIfSubtitlesAvailable,117,1
1421772800055,local,downloadVideo,2424,1
1421772800055,local,getVideoResource,3956,1
1421772802005,local,checkIfSubtitlesExists,2384,1
1421772803967,local,getDefaultSubtitle,1961,1
1421772803968,local,getSubtitles,4466,1
1421772805315,local,applySubtitles,1346,1
1421772805316,local,videoProvisioner,25483,1
1421772805687,local,checkIfAvailable,2077,1
1421772806036,local,downloadVideo,348,1
1421772806037,local,getVideoResource,2430,1
1421772818903,local,checkIfAvailable,852,1
1421772819625,local,downloadVideo,721,1
1421772819625,local,getVideoResource,1577,1
1421772831547,local,scaleVideo,31491,1
1421772833086,local,transcodeVideo,1537,1
1421772837084,local,bitDepthReduction,3996,1
1421772837085,local,videoProvisioner,40986,1
1421772839361,local,scaleVideo,33323,1
1421772840208,local,transcodeVideo,846,1
1421772840872,local,bitDepthReduction,663,1
1421772840873,local,videoProvisioner,37267,1
1421772847335,local,scaleVideo,27708,1
1421772847811,local,transcodeVideo,475,1
1421772848115,local,bitDepthReduction,303,1
1421772848116,local,videoProvisioner,30069,1
1421772899755,local,checkIfAvailable,1629,1
1421772902423,local,downloadVideo,2667,1
1421772902424,local,getVideoResource,4299,1
1421772916235,local,scaleVideo,13811,1
1421772916719,local,transcodeVideo,483,1
1421772917075,local,bitDepthReduction,355,1
1421772917076,local,videoProvisioner,18951,1
1421773135039,local,checkIfAvailable,2759,1
1421773135559,local,downloadVideo,519,1
1421773135560,local,getVideoResource,3281,1
1421773154375,local,scaleVideo,18815,1
1421773157039,local,transcodeVideo,2663,1
1421773160255,local,bitDepthReduction,3215,1
1421773160256,local,videoProvisioner,27977,1
1421772599163,local,checkIfAvailable,6990,1
1421772599198,local,downloadVideo,28,1
1421772599199,local,getVideoResource,7026,1
1421772618746,local,checkIfAvailable,314,1
1421772619062,local,downloadVideo,314,1
1421772619063,local,getVideoResource,631,1
1421772623638,local,scaleVideo,24438,1
1421772626436,local,transcodeVideo,2797,1
1421772626878,local,bitDepthReduction,441,1
1421772627246,local,checkIfSubtitlesAvailable,366,1
1421772628112,local,checkIfSubtitlesExists,865,1
1421772628202,local,getDefaultSubtitle,87,1
1421772628204,local,getSubtitles,1324,1
1421772628226,local,applySubtitles,21,1
1421772628227,local,videoProvisioner,36055,1
1421772643082,local,scaleVideo,24018,1
1421772643774,local,transcodeVideo,691,1
1421772646726,local,bitDepthReduction,2951,1
1421772647282,local,checkIfSubtitlesAvailable,554,1
1421772647586,local,checkIfSubtitlesExists,303,1
1421772648538,local,getDefaultSubtitle,951,1
1421772648762,local,translateSubtitleToLanguage,223,1
1421772648762,local,getSubtitles,2035,1
1421772649978,local,applySubtitles,1215,1
1421772649978,local,videoProvisioner,31547,1
1421772674158,local,checkIfAvailable,2939,1
1421772674423,local,downloadVideo,264,1
1421772674423,local,getVideoResource,3204,1
1421772685366,remote,transcodeVideo,1262,1
1421772696866,local,scaleVideo,22442,1
1421772697578,local,transcodeVideo,711,1
1421772698766,local,bitDepthReduction,1187,1
1421772698766,local,videoProvisioner,27548,1
1421772719814,local,checkIfAvailable,35,1
1421772723242,local,downloadVideo,3427,1
1421772723242,local,getVideoResource,3463,1
1421772736062,local,scaleVideo,12819,1
1421772738138,local,transcodeVideo,2075,1
1421772739146,local,bitDepthReduction,1007,1
1421772739146,local,videoProvisioner,19368,1
1421772742482,local,checkIfAvailable,182,1
1421772744858,local,downloadVideo,2375,1
1421772744858,local,getVideoResource,2559,1
1421772765210,local,scaleVideo,20351,1
1421772767342,local,transcodeVideo,2131,1
1421772768778,local,bitDepthReduction,1435,1
1421772768778,local,videoProvisioner,26479,1
1421772831234,remote,transcodeVideo,5005,1
1421772909090,local,checkIfAvailable,954,1
1421772909306,local,downloadVideo,215,1
1421772909306,local,getVideoResource,1171,1
1421772937839,local,checkIfAvailable,925,1
1421772939828,local,downloadVideo,1988,1
1421772939829,local,getVideoResource,2916,1
1421772943861,local,scaleVideo,34554,1
1421772944269,local,transcodeVideo,407,1
1421772945474,local,bitDepthReduction,1204,1
1421772945475,local,videoProvisioner,37340,1
1421772954730,local,checkIfAvailable,1552,1
1421772959924,local,downloadVideo,5193,1
1421772959925,local,getVideoResource,6748,1
1421772961495,local,scaleVideo,21665,1
1421772962022,local,transcodeVideo,526,1
1421772962234,local,bitDepthReduction,211,1
1421772962235,local,videoProvisioner,25322,1
1421772978414,local,checkIfAvailable,213,1
1421772979588,local,downloadVideo,1172,1
1421772979588,local,getVideoResource,1388,1
1421773003351,local,checkIfAvailable,121,1
1421773010590,local,downloadVideo,7238,1
1421773010590,local,getVideoResource,7366,1
1421773015058,local,scaleVideo,35469,1
1421773015936,local,transcodeVideo,876,1
1421773017135,local,bitDepthReduction,1198,1
1421773018064,local,checkIfSubtitlesAvailable,918,1
1421773026526,local,checkIfSubtitlesExists,8461,1
1421773026597,local,getDefaultSubtitle,70,1
1421773026990,local,translateSubtitleToLanguage,392,1
1421773026990,local,getSubtitles,9848,1
1421773027154,local,applySubtitles,163,1
1421773027154,local,videoProvisioner,48955,1
1421773043278,local,scaleVideo,32687,1
1421773044597,local,transcodeVideo,1318,1
1421773045548,local,bitDepthReduction,950,1
1421773045548,local,videoProvisioner,42324,1
1421773051794,local,scaleVideo,91868,1
1421773052482,local,transcodeVideo,687,1
1421773052726,local,bitDepthReduction,243,1
1421773052726,local,videoProvisioner,99549,1
1421773068774,local,checkIfAvailable,483,1
1421773069122,local,downloadVideo,347,1
1421773069123,local,getVideoResource,833,1
1421773093978,local,scaleVideo,24854,1
1421773094814,local,checkIfAvailable,231,1
1421773095050,local,downloadVideo,234,1
1421773095051,local,getVideoResource,469,1
1421773095986,local,transcodeVideo,2007,1
