timestamp,reqType,service,rt,numberOfReqs 
1421503236075,local,transcodeVideo,2987,1
1421503236230,local,transcodeVideo,1611,1
1421503237190,local,videoProvisioner,107750,1
1421503237903,local,getDefaultSubtitle,8765,1
1421503237903,local,getSubtitles,14041,1
1421503238136,local,applySubtitles,232,1
1421503238137,local,videoProvisioner,112698,1
1421503244304,local,checkIfAvailable,2817,1
1421503244507,local,bitDepthReduction,8430,1
1421503244508,local,videoProvisioner,103063,1
1421503246115,local,downloadVideo,1809,1
1421503246115,local,getVideoResource,4631,1
1421503260958,local,scaleVideo,75354,1
1421503263756,local,transcodeVideo,2797,1
1421503264244,local,bitDepthReduction,487,1
1421503264245,local,videoProvisioner,90787,1
1421503273454,local,scaleVideo,175204,1
1421503273954,local,checkIfAvailable,460,1
1421503274217,local,downloadVideo,261,1
1421503274217,local,getVideoResource,724,1
1421503281704,local,checkIfAvailable,207,1
1421503282801,local,downloadVideo,1096,1
1421503282802,local,getVideoResource,1306,1
1421503283684,local,bitDepthReduction,9350,1
1421503283684,local,videoProvisioner,190719,1
1421503295258,local,checkIfAvailable,9759,1
1421503297592,local,downloadVideo,2333,1
1421503297593,local,getVideoResource,12096,1
1421503313228,local,checkIfAvailable,7723,1
1421503331305,local,downloadVideo,18075,1
1421503331306,local,getVideoResource,25802,1
1421503337819,local,checkIfAvailable,16270,1
1421503342293,local,scaleVideo,68074,1
1421503343540,local,transcodeVideo,1246,1
1421503345565,local,bitDepthReduction,2024,1
1421503346000,local,checkIfSubtitlesAvailable,432,1
1421503355284,local,downloadVideo,17464,1
1421503355285,local,getVideoResource,33738,1
1421503356563,local,checkIfSubtitlesExists,10562,1
1421503357868,local,checkIfAvailable,1678,1
1421503357869,local,getVideoResource,1681,1
1421503360945,local,scaleVideo,78142,1
1421503363621,local,getDefaultSubtitle,7053,1
1421503363621,local,getSubtitles,18055,1
1421503364590,local,applySubtitles,968,1
1421503364590,local,videoProvisioner,91098,1
1421503365118,local,scaleVideo,33811,1
1421503368860,local,transcodeVideo,7914,1
1421503368965,local,checkIfAvailable,4370,1
1421503368966,local,getVideoResource,4375,1
1421503371089,local,transcodeVideo,5970,1
1421503372080,local,bitDepthReduction,990,1
1421503372081,local,videoProvisioner,66578,1
1421503373525,local,bitDepthReduction,4664,1
1421503373525,local,videoProvisioner,92030,1
1421503386280,local,checkIfAvailable,82,1
1421503391339,local,scaleVideo,93745,1
1421503394380,local,transcodeVideo,3040,1
1421503396544,local,bitDepthReduction,2159,1
1421503396549,local,videoProvisioner,111052,1
1421503397151,local,downloadVideo,10870,1
1421503397151,local,getVideoResource,10955,1
1421503410689,local,checkIfAvailable,1150,1
1421503416308,local,checkIfAvailable,10104,1
1421503434056,local,downloadVideo,23366,1
1421503434057,local,getVideoResource,24521,1
1421503437121,local,downloadVideo,20811,1
1421503437121,local,getVideoResource,30919,1
1421503461085,local,scaleVideo,119912,1
1421503463933,local,transcodeVideo,2847,1
1421503466753,local,scaleVideo,220637,1
1421503466877,local,transcodeVideo,123,1
1421503470941,local,scaleVideo,115656,1
1421503470956,local,bitDepthReduction,4078,1
1421503470957,local,videoProvisioner,229474,1
1421503477727,local,scaleVideo,119857,1
1421503478300,local,checkIfAvailable,7340,1
1421503481081,local,transcodeVideo,3353,1
1421503483482,local,transcodeVideo,12540,1
1421503483747,local,bitDepthReduction,261,1
1421503483748,local,videoProvisioner,162201,1
1421503485716,local,bitDepthReduction,4634,1
1421503485717,local,videoProvisioner,129530,1
1421503486532,local,checkIfAvailable,2781,1
1421503487222,local,bitDepthReduction,23288,1
1421503487453,local,downloadVideo,9152,1
1421503487453,local,getVideoResource,16496,1
1421503489208,local,checkIfSubtitlesAvailable,1982,1
1421503490768,local,scaleVideo,93616,1
1421503491753,local,checkIfSubtitlesExists,2544,1
1421503493245,local,transcodeVideo,2476,1
1421503494937,local,downloadVideo,8404,1
1421503494938,local,getVideoResource,11190,1
1421503498504,local,bitDepthReduction,5258,1
1421503498505,local,videoProvisioner,112310,1
1421503506274,local,getDefaultSubtitle,14520,1
1421503507236,local,translateSubtitleToLanguage,961,1
1421503507237,local,getSubtitles,20014,1
1421503507484,local,applySubtitles,246,1
1421503507485,local,videoProvisioner,169971,1
1421503534270,local,scaleVideo,97148,1
1421503535865,local,transcodeVideo,1594,1
1421503541300,local,scaleVideo,107242,1
