timestamp,selflet 
1424367868922,100
1424367886684,101
1424357949132,10
1424367888983,102
1424368213281,103
1424368231108,104
1424368256613,105
1424368513361,106
1424368533315,107
1424368531779,108
1424368868774,109
1424368881342,110
1424369202356,111
1424361464340,11
1424369502378,112
1424369553967,114
1424369493425,115
1424369494464,116
1424369499958,117
1424357947604,12
1424358359401,13
1424358516966,14
1424358554510,15
1424359145059,16
1424358630024,17
1424358616831,18
1424359211464,19
1424359032405,20
1424359054981,21
1424359708129,22
1424359952181,23
1424360158661,24
1424359519268,25
1424359955161,26
1424360043355,27
1424360620361,28
1424360007606,29
1424360442426,30
1424360451733,31
1424356880054,3
1424368070146,32
1424360532583,33
1424361109551,34
1424361226144,35
1424361163464,36
1424364686458,37
1424364654097,38
1424361343122,39
1424361400129,40
1424364977837,41
1424367681808,4
1424364989382,42
1424369153499,44
1424365308937,45
1424369110281,46
1424365682613,47
1424369215407,48
1424366053452,49
1424369605335,50
1424363051884,51
1424357897045,5
1424363127638,52
1424366486676,53
1424367022632,54
1424367046965,55
1424366976724,56
1424367059376,57
1424367067304,58
1424367719901,59
1424367124274,60
1424367412987,61
1424357630385,6
1424364694906,62
1424364497055,63
1424364133594,64
1424367734411,65
1424364537103,66
1424364662415,67
1424364451098,69
1424368641257,70
1424368344316,71
1424357627747,7
1424364806631,72
1424368644324,73
1424365611399,74
1424365593496,75
1424365727917,76
1424365813702,77
1424365710063,78
1424366322900,79
1424369254225,80
1424365823392,81
1424357623477,8
1424365952206,82
1424369858905,83
1424365976693,84
1424366966832,85
1424366973929,86
1424366987864,87
1424366840333,89
1424366919258,90
1424367181129,91
1424361333587,9
1424366915326,92
1424367224179,93
1424367828097,94
1424367598459,96
1424367866846,97
1424367575365,99
