timestamp,selflet,utilization 
1424345720144,100,0.0
1424345725130,100,0.0
1424345730122,100,0.0
1424345735122,100,0.0
1424345740122,100,0.0
1424345745121,100,0.0
1424345750123,100,0.0
1424345755122,100,0.0
1424345760122,100,0.0
1424345765121,100,0.0
1424345770121,100,0.0
1424345775122,100,0.0
1424345780123,100,0.0
1424345785122,100,0.0
1424345790122,100,0.0
1424345795121,100,0.0
1424345800122,100,0.0
1424345805121,100,0.0
1424345810121,100,0.0
1424345815121,100,0.0
1424345820121,100,0.0
1424345825122,100,0.0
1424345830121,100,0.0
1424345835121,100,0.0
1424345840123,100,0.0
1424345845122,100,0.0
1424345850122,100,0.0
1424345855122,100,0.0
1424345860122,100,0.0
1424345865122,100,0.0
1424345870122,100,0.0
1424345875122,100,0.0
1424345880122,100,0.0
1424345885123,100,0.0
1424345890123,100,0.0
1424345895122,100,0.0
1424345900122,100,0.0
1424345905122,100,0.0
1424345910122,100,0.0
1424345915122,100,0.0
1424345920122,100,0.0
1424345925122,100,0.0
1424345930121,100,0.0
1424345935122,100,0.0
1424345940122,100,0.0
1424345945122,100,0.0
1424345950121,100,0.0
1424345955122,100,0.0
1424345960123,100,0.0
1424345965121,100,0.0
1424345970122,100,0.0
1424345975122,100,0.0
1424345980121,100,0.0
1424345985121,100,0.0
1424345990123,100,0.0
1424345995121,100,0.0
1424346000122,100,0.0
1424346005121,100,0.0
1424346010123,100,0.0
1424346015121,100,0.0
1424346020122,100,0.0
1424346025122,100,0.0
1424346030121,100,0.0
1424346035122,100,0.0
1424346040127,100,0.0225
1424346045123,100,0.0225
1424346050127,100,0.0225
1424346055123,100,0.0225
1424346060125,100,0.0225
1424346065126,100,0.0225
1424346070126,100,0.0225
1424346075122,100,0.0225
1424346080123,100,0.0225
1424346085123,100,0.0225
1424346090125,100,0.0225
1424346095122,100,0.0225
1424346100122,100,0.0225
1424346105121,100,0.0225
1424346110123,100,0.0325
1424346115122,100,0.0325
1424346120122,100,0.0325
1424346125122,100,0.2775
1424346130123,100,0.28833333333333333
1424346135123,100,0.5333333333333333
1424346140125,100,0.5441666666666667
1424346145122,100,0.5441666666666667
1424346150123,100,0.5441666666666667
1424346155123,100,0.5441666666666667
1424346160123,100,0.5216666666666667
1424346165122,100,0.5216666666666667
1424346170126,100,0.5441666666666667
1424346175122,100,0.5441666666666667
1424346180122,100,0.5666666666666667
1424346185123,100,0.5666666666666667
1424346190122,100,0.5666666666666667
1424346195123,100,0.5666666666666667
1424346200127,100,0.8225
1424346205123,100,1.0
1424346210123,100,1.0
1424346215123,100,1.0
1424346220124,100,1.0
1424346225123,100,1.0
1424346230123,100,1.0
1424346235122,100,1.0
1424346240122,100,1.0
1424346245122,100,0.8233333333333334
1424346250122,100,0.8125
1424346255122,100,0.5675
1424346260122,100,0.5791666666666666
1424346265122,100,0.5791666666666666
1424346270122,100,0.5791666666666666
1424346275122,100,0.5791666666666666
1424346280125,100,0.5791666666666666
1424346285122,100,0.8450000000000001
1424346290123,100,0.8225
1424346295122,100,0.8225
1424346300122,100,0.8
1424346305122,100,0.8
1424346310122,100,1.0
1424346315122,100,1.0
1424346320123,100,0.8
1424346325122,100,0.5625
1424346330122,100,0.5441666666666667
1424346335122,100,0.5441666666666667
1424346340122,100,0.5666666666666667
1424346345122,100,0.5666666666666667
1424346350124,100,0.5666666666666667
1424346355122,100,0.5666666666666667
1424346360124,100,0.5666666666666667
1424346365122,100,0.8225
1424346370122,100,0.8225
1424346375122,100,0.8225
1424346380122,100,0.8
1424346385121,100,0.8
1424346390122,100,0.8
1424346395121,100,0.8
1424346400121,100,0.8
1424346405122,100,0.5341666666666667
1424346410123,100,0.5341666666666667
1424346415122,100,0.5341666666666667
1424346420122,100,0.5341666666666667
1424346425121,100,0.5341666666666667
1424346430122,100,0.2783333333333333
1424346435121,100,0.2783333333333333
1424346440122,100,0.2783333333333333
1424346445121,100,0.2783333333333333
1424346450121,100,0.2783333333333333
1424346455121,100,0.2783333333333333
1424346460121,100,0.25583333333333336
1424346465122,100,0.25583333333333336
1424346470122,100,0.25583333333333336
1424346475121,100,0.25583333333333336
1424346480121,100,0.25583333333333336
1424346485121,100,0.0
1424346490122,100,0.0
1424346495121,100,0.0
1424346500121,100,0.0
1424346505121,100,0.0
1424346510122,100,0.0
1424346515122,100,0.01
1424346520122,100,0.0225
1424346525122,100,0.0225
1424346530122,100,0.0225
1424346535122,100,0.0225
1424346540122,100,0.0225
1424346545121,100,0.29666666666666675
1424346550123,100,0.31166666666666676
1424346555122,100,0.31166666666666676
1424346560122,100,0.31166666666666676
1424346565122,100,0.31166666666666676
1424346570122,100,0.31166666666666676
1424346575122,100,0.31166666666666676
1424346580122,100,0.31166666666666676
1424346585121,100,0.31166666666666676
1424346590124,100,0.31166666666666676
1424346595121,100,0.31166666666666676
1424346600122,100,0.31166666666666676
1424346605121,100,0.31166666666666676
1424346610121,100,0.31166666666666676
1424346615121,100,0.31166666666666676
1424346620122,100,0.3341666666666667
1424346625122,100,0.3341666666666667
1424346630124,100,0.3341666666666667
1424346635121,100,0.3241666666666667
1424346640122,100,0.31166666666666676
1424346645122,100,0.31166666666666676
1424346650125,100,0.31166666666666676
1424346655122,100,0.31166666666666676
1424346660124,100,0.31166666666666676
1424346665121,100,0.037500000000000006
1424346670121,100,0.0225
1424346675121,100,0.0225
1424346680121,100,0.0225
1424346685122,100,0.0325
1424346690121,100,0.0675
1424346695122,100,0.0675
1424346700122,100,0.0675
1424346705122,100,0.0675
1424346710121,100,0.0675
1424346715122,100,0.0675
1424346720122,100,0.0675
1424346725122,100,0.30500000000000005
1424346730122,100,0.8058333333333334
1424346735122,100,0.8350000000000001
1424346740122,100,0.8125
1424346745122,100,0.8125
1424346750122,100,0.8125
1424346755122,100,0.8125
1424346760122,100,0.8125
1424346765122,100,0.8125
1424346770122,100,0.8125
1424346775121,100,0.8125
1424346780121,100,0.8125
1424346785122,100,0.8125
1424346790121,100,0.8125
1424346795121,100,0.8125
1424346800121,100,0.8125
1424346805121,100,0.8025
1424346810121,100,0.7675
1424346815121,100,0.7675
1424346820122,100,0.7675
1424346825122,100,0.7675
1424346830122,100,0.7675
1424346835122,100,0.7675
1424346840122,100,0.7675
1424346845122,100,0.53
1424346850122,100,0.029166666666666667
1424346855121,100,0.0
1424346860121,100,0.0
1424346865121,100,0.0
1424346870121,100,0.0
1424346875121,100,0.0
1424346880121,100,0.0
1424346885122,100,0.0
1424346890121,100,0.0
1424346895121,100,0.0
1424346900121,100,0.0
1424346905121,100,0.0
1424346910121,100,0.0
1424346915121,100,0.0
1424346920121,100,0.0
1424346925121,100,0.0
1424346930121,100,0.0
1424346935121,100,0.0
1424346940122,100,0.0
1424346945121,100,0.0
1424346950121,100,0.0
1424346955121,100,0.0
1424346960121,100,0.0
1424346965122,100,0.0
1424346970121,100,0.0
1424346975121,100,0.0
1424346980122,100,0.0
1424346985121,100,0.01
1424346990122,100,0.0225
1424346995121,100,0.0325
1424347000122,100,0.0325
1424347005122,100,0.0325
1424347010121,100,0.0325
1424347015122,100,0.0325
1424347020122,100,0.0325
1424347025121,100,0.0325
1424347030121,100,0.0325
1424347035121,100,0.0325
1424347040121,100,0.0325
1424347045121,100,0.0325
1424347050121,100,0.0325
1424347055122,100,0.0325
1424347060122,100,0.28833333333333333
1424347065122,100,0.5333333333333333
1424347070122,100,0.5441666666666667
1424347075121,100,0.5441666666666667
1424347080122,100,0.5441666666666667
1424347085122,100,0.5441666666666667
1424347090122,100,0.5441666666666667
1424347095122,100,0.5441666666666667
1424347100123,100,0.5441666666666667
1424347105121,100,0.5341666666666667
1424347110121,100,0.5216666666666667
1424347115122,100,0.5116666666666667
1424347120123,100,0.5341666666666667
1424347125122,100,0.5341666666666667
1424347130122,100,0.5341666666666667
1424347135121,100,0.5341666666666667
1424347140121,100,0.5341666666666667
1424347145122,100,0.5441666666666667
1424347150122,100,0.5566666666666666
1424347155122,100,0.5566666666666666
1424347160124,100,0.5566666666666666
1424347165122,100,0.5566666666666666
1424347170123,100,0.5566666666666666
1424347175122,100,0.8408333333333333
1424347180122,100,0.5941666666666667
1424347185122,100,0.34916666666666674
1424347190124,100,0.5941666666666667
1424347195122,100,0.5941666666666667
1424347200122,100,0.5941666666666667
1424347205122,100,0.5941666666666667
1424347210123,100,0.5941666666666667
1424347215121,100,0.5941666666666667
1424347220122,100,0.5941666666666667
1424347225122,100,0.5941666666666667
1424347230122,100,0.5941666666666667
1424347235122,100,0.5941666666666667
1424347240122,100,0.5716666666666665
1424347245121,100,0.5716666666666665
1424347250121,100,0.5716666666666665
1424347255121,100,0.5716666666666665
1424347260122,100,0.5716666666666665
1424347265121,100,0.5616666666666665
1424347270122,100,0.5491666666666666
1424347275121,100,0.5491666666666666
1424347280121,100,0.5491666666666666
1424347285121,100,0.5491666666666666
1424347290121,100,0.5491666666666666
1424347295122,100,0.265
1424347300122,100,0.25583333333333336
1424347305121,100,0.25583333333333336
1424347310121,100,0.0
1424347315121,100,0.0
1424347320122,100,0.0
1424347325121,100,0.0
1424347330121,100,0.0
1424347335121,100,0.0
1424347340121,100,0.0
1424347345122,100,0.0
1424347350121,100,0.0
1424347355121,100,0.0
1424347360121,100,0.0
1424347365122,100,0.0
1424347370121,100,0.0
1424347375122,100,0.0
1424347380122,100,0.0
1424347385121,100,0.0
1424347390121,100,0.0
1424347395121,100,0.0
1424347400121,100,0.0
1424347405121,100,0.0
1424347410121,100,0.0
1424347415122,100,0.0
1424347420121,100,0.0
1424347425121,100,0.0
1424347430121,100,0.0
1424347435121,100,0.0
1424347440121,100,0.0
1424347445122,100,0.0
1424347450122,100,0.0
1424347455121,100,0.0
1424347460121,100,0.0
1424347465121,100,0.0
1424347470121,100,0.0
1424347475122,100,0.0
1424347480121,100,0.0
1424347485122,100,0.0
1424347490121,100,0.0
1424347495122,100,0.0
1424347500121,100,0.0
1424347505121,100,0.0
1424347510121,100,0.0
1424347515121,100,0.0
1424347520122,100,0.0
1424347525121,100,0.0
1424347530121,100,0.0
1424347535121,100,0.0
1424347540121,100,0.0
1424347545122,100,0.0
1424347550122,100,0.0
1424347555121,100,0.0
1424347560122,100,0.0
1424347565121,100,0.0
1424347570122,100,0.0
1424347575121,100,0.0
1424347580121,100,0.0
1424347585121,100,0.0
1424347590121,100,0.0
1424347595121,100,0.0
1424347600121,100,0.0
1424347605121,100,0.0
1424347610122,100,0.0
1424347615121,100,0.0
