timestamp,selflet,started,ended,lifetime 
1424348734716,100,1424345718895,1424348734716,3015821
1424352032777,101,1424345729773,1424352032777,6303004
1424348464746,102,1424345759075,1424348464746,2705671
1424349356620,103,1424346030717,1424349356620,3325903
1424349081187,104,1424346065388,1424349081187,3015799
1424348782344,105,1424346076634,1424348782344,2705710
1424349352348,106,1424346336568,1424349352347,3015779
1424349121591,107,1424346415952,1424349121591,2705639
1424349175723,108,1424346470077,1424349175723,2705646
1424349406785,109,1424346701157,1424349406785,2705628
1424349452857,110,1424346747207,1424349452857,2705650
1424349783319,111,1424346767527,1424349783318,3015791
1424349068377,11,1424335563286,1424349068377,13505091
1424349718322,112,1424347012689,1424349718321,2705632
1424349734480,113,1424347028825,1424349734480,2705655
1424349739580,114,1424347033952,1424349739580,2705628
1424350059011,115,1424347353383,1424350059011,2705628
1424338736342,12,1424335640400,1424338736341,3095941
1424338816133,13,1424335700185,1424338816133,3115948
1424338868362,14,1424335882464,1424338868362,2985898
1424349704315,15,1424335898679,1424349704315,13805636
1424338946724,16,1424335940838,1424338946724,3005886
1424339007809,17,1424336222056,1424339007808,2785752
1424347017337,18,1424336251977,1424347017337,10765360
1424339038953,19,1424336313202,1424339038953,2725751
1424339377590,20,1424336551837,1424339377590,2825753
1424346631446,21,1424336598025,1424346631445,10033420
1424337927788,2,1424334551644,1424337927788,3376144
1424339567129,23,1424336861416,1424339567129,2705713
1424339759911,24,1424336924041,1424339759911,2835870
1424340437260,25,1424337041200,1424340437260,3396060
1424340107872,26,1424337172015,1424340107872,2935857
1424344323729,27,1424337209132,1424344323729,7114597
1424339984405,28,1424337278711,1424339984404,2705693
1424340293216,30,1424337527420,1424340293215,2765795
1424340839615,31,1424337633606,1424340839613,3206007
1424340856306,3,1424334552856,1424340856306,6303450
1424340525086,32,1424337819392,1424340525085,2705693
1424340594955,33,1424337849231,1424340594954,2745723
1424340565368,34,1424337859592,1424340565367,2705775
1424340921976,35,1424338166267,1424340921975,2755708
1424340925371,36,1424338179594,1424340925370,2745776
1424340889725,37,1424338183981,1424340889724,2705743
1424341756190,38,1424338620234,1424341756190,3135956
1424341737873,39,1424338712001,1424341737872,3025871
1424341569099,40,1424338863264,1424341569099,2705835
1424348853257,41,1424338949902,1424348853256,9903354
1424337830999,4,1424334554973,1424337830999,3276026
1424349273238,42,1424339059843,1424349273238,10213395
1424341922793,43,1424339087039,1424341922792,2835753
1424349622187,44,1424339409029,1424349622187,10213158
1424346628818,45,1424339424315,1424346628817,7204502
1424353055622,46,1424339551598,1424353055622,13504024
1424349662190,47,1424339759058,1424349662190,9903132
1424346215429,48,1424339891813,1424346215429,6323616
1424346391430,49,1424340087854,1424346391429,6303575
1424347330088,51,1424340335834,1424347330088,6994254
1424341793794,5,1424334849619,1424341793794,6944175
1424347387973,52,1424340393836,1424347387973,6994137
1424347250734,53,1424340506619,1424347250733,6744114
1424347175960,54,1424340511918,1424347175960,6664042
1424347317057,55,1424340813421,1424347317057,6503636
1424347218940,56,1424340915538,1424347218940,6303402
1424343994817,57,1424340938810,1424343994817,3056007
1424347655574,59,1424341352101,1424347655574,6303473
1424344764477,60,1424341348338,1424344764477,3416139
1424347939813,61,1424341636234,1424347939813,6303579
1424337592424,6,1424334866577,1424337592424,2725847
1424344922558,62,1424341646520,1424344922557,3276037
1424344931024,63,1424341674875,1424344931024,3256149
1424348262376,65,1424341959036,1424348262376,6303340
1424345562542,67,1424342266470,1424345562542,3296072
1424345445194,68,1424342279136,1424345445194,3166058
1424345538753,69,1424342282722,1424345538753,3256031
1424349171387,70,1424342567816,1424349171387,6603571
1424345637839,71,1424342571945,1424345637839,3065894
1424337779535,7,1424334873721,1424337779535,2905814
1424348877718,72,1424342574460,1424348877713,6303253
1424345842329,73,1424342876426,1424345842329,2965903
1424349504611,74,1424342891137,1424349504610,6613473
1424345670461,75,1424342894657,1424345670460,2775803
1424346554789,76,1424343178710,1424346554789,3376079
1424346708128,77,1424343181975,1424346708128,3526153
1424345919423,78,1424343183647,1424345919423,2735776
1424346511395,79,1424343485488,1424346511394,3025906
1424346510439,80,1424343494513,1424346510439,3015926
1424338550492,8,1424335224453,1424338550491,3326038
1424346717667,82,1424343811884,1424346717666,2905782
1424347370220,84,1424343844081,1424347370220,3526139
1424347229625,85,1424344123710,1424347229625,3105915
1424347253768,86,1424344127684,1424347253767,3126083
1424347300058,87,1424344134114,1424347300057,3165943
1424347382455,88,1424344426631,1424347382454,2955823
1424347423396,89,1424344447570,1424347423396,2975826
1424347400243,90,1424344494454,1424347400243,2905789
1424347459424,91,1424344753588,1424347459424,2705836
1424345255827,9,1424335272297,1424345255826,9983529
1424347773245,92,1424344757332,1424347773245,3015913
1424348147292,93,1424344821318,1424348147291,3325973
1424347780391,94,1424345074676,1424347780390,2705714
1424348127003,95,1424345111196,1424348127002,3015806
1424347825631,96,1424345119937,1424347825630,2705693
1424348702476,97,1424345376521,1424348702476,3325955
1424348503796,98,1424345487950,1424348503795,3015845
1424348556386,99,1424345550516,1424348556386,3005870
