timestamp,selflet 
1424276216661,100
1424276467712,101
1424266022059,10
1424276476818,102
1424276492079,103
1424276774161,104
1424276775965,105
1424276836859,106
1424277083926,107
1424277099267,108
1424277113275,109
1424277388798,110
1424277401424,111
1424266278624,11
1424277406274,112
1424277697951,113
1424277706031,114
1424277721098,115
1424278016607,116
1424278052620,117
1424278059915,118
1424266317837,12
1424266349731,13
1424266611895,14
1424266633065,15
1424266685273,16
1424266922171,17
1424266948678,18
1424267085071,19
1424267242010,20
1424267288607,21
1424265324092,2
1424267301982,22
1424267557502,23
1424267609736,24
1424267787468,25
1424267898551,26
1424267934304,27
1424267948904,28
1424268418603,29
1424268439768,30
1424268441005,31
1424265322986,3
1424268824149,32
1424268848710,33
1424268862017,34
1424269132987,35
1424269164121,36
1424269200923,37
1424269478632,38
1424269633096,39
1424269677595,40
1424269815195,41
1424265321988,4
1424269844610,42
1424269865171,43
1424270121755,44
1424270147085,45
1424270277670,46
1424270534226,47
1424270545418,48
1424270555552,49
1424270896637,50
1424265650539,5
1424270951016,52
1424271237520,53
1424271254305,55
1424271685314,56
1424271743371,57
1424271823068,58
1424272062332,59
1424272087730,60
1424272117627,61
1424265670843,6
1424272409263,62
1424272417750,63
1424272465581,64
1424272713686,65
1424272720967,66
1424272725252,67
1424273073181,68
1424273089098,69
1424273114112,70
1424273378911,71
1424265677474,7
1424273381337,72
1424273405836,73
1424273701243,74
1424273719819,75
1424273773563,76
1424274006887,77
1424274028628,78
1424274029837,79
1424274307667,80
1424274311404,81
1424265966526,8
1424274330879,82
1424274616957,83
1424274636884,84
1424274681075,85
1424274932463,86
1424274935383,87
1424274954355,88
1424275242105,89
1424275248802,90
1424275321274,91
1424265976140,9
1424275545432,92
1424275547619,93
1424275565566,94
1424275861854,95
1424275888716,96
1424275888044,97
1424276164223,98
1424276188993,99
