timestamp,reqType,service,rt,numberOfReqs 
1422216524062,local,scaleVideo,59443,1
1422216525226,local,transcodeVideo,1163,1
1422216525698,local,bitDepthReduction,471,1
1422216527198,local,checkIfSubtitlesAvailable,1499,1
1422216527818,local,checkIfSubtitlesExists,619,1
1422216529254,local,getDefaultSubtitle,1435,1
1422216529578,local,translateSubtitleToLanguage,323,1
1422216529579,local,getSubtitles,3880,1
1422216530010,local,applySubtitles,431,1
1422216530011,local,videoProvisioner,71851,1
1422216671806,local,checkIfAvailable,167,1
1422216672390,local,downloadVideo,583,1
1422216672391,local,getVideoResource,752,1
1422216676438,local,checkIfAvailable,1499,1
1422216678211,local,checkIfAvailable,1618,1
1422216678682,local,downloadVideo,2243,1
1422216678682,local,getVideoResource,3744,1
1422216680095,local,downloadVideo,1883,1
1422216680095,local,getVideoResource,3505,1
1422216707098,local,scaleVideo,34699,1
1422216708659,local,transcodeVideo,1560,1
1422216708774,local,bitDepthReduction,115,1
1422216708776,local,videoProvisioner,37138,1
1422216732020,local,scaleVideo,51924,1
1422216733057,local,transcodeVideo,1036,1
1422216735295,local,bitDepthReduction,2238,1
1422216735373,local,checkIfSubtitlesAvailable,70,1
1422216736823,local,checkIfSubtitlesExists,1450,1
1422216738568,local,getDefaultSubtitle,1744,1
1422216738568,local,getSubtitles,3272,1
1422216738691,local,applySubtitles,122,1
1422216738691,local,videoProvisioner,62102,1
1422216760101,local,checkIfAvailable,949,1
1422216761866,local,downloadVideo,1764,1
1422216761866,local,getVideoResource,2715,1
1422216769529,local,scaleVideo,90846,1
1422216769630,local,transcodeVideo,100,1
1422216771858,local,bitDepthReduction,2227,1
1422216772163,local,checkIfSubtitlesAvailable,303,1
1422216774826,local,checkIfSubtitlesExists,2662,1
1422216775980,local,getDefaultSubtitle,1153,1
1422216775981,local,getSubtitles,4122,1
1422216776163,local,applySubtitles,181,1
1422216776163,local,videoProvisioner,101225,1
1422216823837,remote,checkIfAvailable,285,1
1422216834558,local,scaleVideo,72691,1
1422216834950,local,transcodeVideo,391,1
1422216837805,local,checkIfAvailable,2700,1
1422216838578,local,bitDepthReduction,3627,1
1422216838579,local,videoProvisioner,79429,1
1422216839114,local,downloadVideo,1308,1
1422216839115,local,getVideoResource,4010,1
1422216841530,local,checkIfAvailable,1471,1
1422216842156,local,downloadVideo,625,1
1422216842156,local,getVideoResource,2098,1
1422216860098,local,scaleVideo,20983,1
1422216860161,local,transcodeVideo,62,1
1422216861100,local,bitDepthReduction,938,1
1422216861101,local,videoProvisioner,25997,1
1422216904870,local,scaleVideo,62713,1
1422216905202,local,transcodeVideo,331,1
1422216905474,local,bitDepthReduction,271,1
1422216905475,local,videoProvisioner,65417,1
1422216940882,local,checkIfAvailable,56,1
1422216942426,local,downloadVideo,1543,1
1422216942427,local,getVideoResource,1601,1
1422216966774,local,scaleVideo,24347,1
1422216968006,local,transcodeVideo,1231,1
1422216970702,local,bitDepthReduction,2695,1
1422216970703,local,videoProvisioner,29878,1
1422217081018,local,checkIfAvailable,2153,1
1422217082370,local,downloadVideo,1351,1
1422217082371,local,getVideoResource,3506,1
1422217104958,local,scaleVideo,22587,1
1422217105646,local,transcodeVideo,687,1
1422217105694,local,bitDepthReduction,47,1
1422217105694,local,videoProvisioner,26830,1
1422217153142,local,checkIfAvailable,997,1
1422217153143,local,getVideoResource,999,1
1422217168595,local,checkIfAvailable,1109,1
1422217169973,local,downloadVideo,1378,1
1422217169973,local,getVideoResource,2487,1
1422217176545,local,scaleVideo,23399,1
1422217177588,local,transcodeVideo,1042,1
1422217179176,local,bitDepthReduction,1588,1
1422217179176,local,videoProvisioner,27032,1
1422217180906,local,scaleVideo,10932,1
1422217181522,local,transcodeVideo,615,1
1422217183486,local,bitDepthReduction,1963,1
1422217183487,remote,videoProvisioner,16002,1
1422217201854,remote,checkIfAvailable,628,1
1422217258910,local,checkIfAvailable,1460,1
1422217259418,local,downloadVideo,507,1
1422217259419,local,getVideoResource,1969,1
1422217280258,local,scaleVideo,20839,1
1422217281194,local,transcodeVideo,932,1
1422217284330,local,bitDepthReduction,3135,1
1422217284954,local,checkIfSubtitlesAvailable,623,1
1422217284955,local,getSubtitles,624,1
1422217285266,local,applySubtitles,311,1
1422217285268,local,videoProvisioner,27819,1
1422217312318,local,checkIfAvailable,2392,1
1422217312526,local,downloadVideo,207,1
1422217312526,local,getVideoResource,2601,1
1422217340882,local,scaleVideo,28355,1
1422217342474,local,transcodeVideo,1591,1
1422217343302,local,bitDepthReduction,827,1
1422217344962,local,checkIfSubtitlesAvailable,1659,1
1422217346774,local,checkIfSubtitlesExists,1811,1
1422217346862,local,getDefaultSubtitle,87,1
1422217347194,local,translateSubtitleToLanguage,324,1
1422217347195,local,getSubtitles,3892,1
1422217347402,local,applySubtitles,207,1
1422217347403,local,videoProvisioner,37478,1
1422217370266,local,checkIfAvailable,367,1
1422217371778,local,downloadVideo,1511,1
1422217371786,local,getVideoResource,1887,1
1422217374346,local,checkIfAvailable,2547,1
1422217376217,local,downloadVideo,1870,1
1422217376218,local,getVideoResource,4432,1
1422217381009,local,checkIfAvailable,1733,1
1422217383166,local,downloadVideo,2156,1
1422217383166,local,getVideoResource,3894,1
1422217428361,local,scaleVideo,45194,1
1422217429266,local,transcodeVideo,904,1
1422217429640,local,bitDepthReduction,373,1
1422217431466,local,checkIfSubtitlesAvailable,1821,1
1422217433846,local,checkIfSubtitlesExists,2379,1
1422217434839,local,getDefaultSubtitle,991,1
1422217434840,local,getSubtitles,5199,1
1422217436744,local,applySubtitles,1903,1
1422217436744,local,videoProvisioner,57472,1
1422217468491,local,scaleVideo,96685,1
1422217469183,local,transcodeVideo,690,1
1422217470165,local,bitDepthReduction,982,1
1422217470165,local,videoProvisioner,100266,1
1422217472022,local,scaleVideo,95804,1
1422217475690,local,transcodeVideo,3667,1
1422217477214,local,bitDepthReduction,1523,1
1422217478622,local,checkIfSubtitlesAvailable,1406,1
1422217478623,local,getSubtitles,1407,1
1422217478942,local,applySubtitles,319,1
1422217478942,local,videoProvisioner,107168,1
1422217612790,local,checkIfAvailable,362,1
1422217612791,local,getVideoResource,363,1
1422217632358,local,scaleVideo,19567,1
1422217633146,local,transcodeVideo,787,1
1422217633438,local,bitDepthReduction,291,1
1422217633439,local,videoProvisioner,21011,1
1422215099980,local,checkIfAvailable,175,1
1422215101499,local,downloadVideo,1514,1
1422215101500,local,getVideoResource,1696,1
1422215111302,local,checkIfAvailable,145,1
1422215111681,local,downloadVideo,378,1
1422215111682,local,getVideoResource,526,1
1422215125611,local,scaleVideo,24111,1
1422215129510,local,transcodeVideo,3898,1
1422215130161,local,bitDepthReduction,650,1
1422215130329,local,checkIfSubtitlesAvailable,162,1
1422215130330,local,getSubtitles,167,1
1422215131127,local,applySubtitles,796,1
1422215131127,local,videoProvisioner,31324,1
1422215135089,local,checkIfAvailable,1195,1
1422215135699,local,downloadVideo,609,1
1422215135700,local,getVideoResource,1807,1
1422215138258,local,scaleVideo,26575,1
1422215138960,local,transcodeVideo,701,1
1422215139070,local,bitDepthReduction,109,1
1422215139071,local,videoProvisioner,27916,1
1422215160564,local,checkIfAvailable,145,1
1422215160623,local,scaleVideo,24921,1
1422215161639,local,transcodeVideo,1007,1
1422215161850,local,downloadVideo,1285,1
1422215161851,local,getVideoResource,1433,1
1422215161863,local,bitDepthReduction,223,1
1422215161863,local,videoProvisioner,27972,1
1422215186695,local,scaleVideo,24843,1
1422215189183,local,transcodeVideo,2487,1
