timestamp,reqType,service,rt,numberOfReqs 
1421157324883,local,transcodeVideo,247,1
1421157327127,local,bitDepthReduction,2244,1
1421157327127,local,videoProvisioner,31152,1
1421157353795,local,checkIfAvailable,291,1
1421157353810,local,downloadVideo,15,1
1421157353811,local,getVideoResource,308,1
1421157377143,local,scaleVideo,23332,1
1421157377206,local,transcodeVideo,63,1
1421157378807,local,bitDepthReduction,1600,1
1421157381742,local,checkIfSubtitlesAvailable,2934,1
1421157382955,local,checkIfSubtitlesExists,1212,1
1421157383594,local,getDefaultSubtitle,639,1
1421157383595,local,getSubtitles,4788,1
1421157384163,local,applySubtitles,568,1
1421157384163,local,videoProvisioner,30660,1
1421157396939,local,checkIfAvailable,910,1
1421157400635,local,downloadVideo,3696,1
1421157400635,local,getVideoResource,4607,1
1421157441035,local,scaleVideo,40399,1
1421157441095,local,transcodeVideo,60,1
1421157444739,local,bitDepthReduction,3644,1
1421157444739,local,videoProvisioner,48711,1
1421157449578,local,checkIfAvailable,1025,1
1421157449850,local,downloadVideo,271,1
1421157449851,local,getVideoResource,1298,1
1421157458386,local,scaleVideo,8535,1
1421157459330,local,transcodeVideo,943,1
1421157459558,local,bitDepthReduction,227,1
1421157459559,local,videoProvisioner,11006,1
1421157506370,local,checkIfAvailable,288,1
1421157507855,local,downloadVideo,1484,1
1421157507855,local,getVideoResource,1774,1
1421157513206,local,checkIfAvailable,2120,1
1421157517837,local,downloadVideo,4630,1
1421157517838,local,getVideoResource,6753,1
1421157534018,local,scaleVideo,26162,1
1421157534292,local,transcodeVideo,273,1
1421157536148,local,bitDepthReduction,1855,1
1421157536149,local,videoProvisioner,30068,1
1421157544494,local,scaleVideo,26656,1
1421157544562,local,transcodeVideo,67,1
1421157544587,local,bitDepthReduction,24,1
1421157544587,local,videoProvisioner,33502,1
1421157615687,local,checkIfAvailable,2045,1
1421157616231,local,downloadVideo,544,1
1421157616231,local,getVideoResource,2589,1
1421157637807,local,scaleVideo,21575,1
1421157640439,local,transcodeVideo,2632,1
1421157641455,local,bitDepthReduction,1016,1
1421157641455,local,videoProvisioner,27814,1
1421157702423,local,checkIfAvailable,1245,1
1421157702755,local,downloadVideo,332,1
1421157702755,local,getVideoResource,1578,1
1421157764854,local,checkIfAvailable,1145,1
1421157764855,local,getVideoResource,1147,1
1421157779021,local,checkIfAvailable,302,1
1421157780263,local,downloadVideo,1241,1
1421157780264,local,getVideoResource,1549,1
1421157796053,local,scaleVideo,31197,1
1421157796916,local,transcodeVideo,862,1
1421157797508,local,bitDepthReduction,591,1
1421157797661,local,checkIfSubtitlesAvailable,143,1
1421157799535,local,scaleVideo,96779,1
1421157807286,local,checkIfSubtitlesExists,9625,1
1421157807302,local,transcodeVideo,7766,1
1421157808927,local,checkIfAvailable,7697,1
1421157808927,local,getVideoResource,7701,1
1421157809108,local,getDefaultSubtitle,1821,1
1421157812216,local,bitDepthReduction,4913,1
1421157812217,local,videoProvisioner,111040,1
1421157812226,local,translateSubtitleToLanguage,3117,1
1421157812226,local,getSubtitles,14717,1
1421157814695,local,applySubtitles,2468,1
1421157814695,local,videoProvisioner,50988,1
1421157818113,local,scaleVideo,37848,1
1421157818519,local,transcodeVideo,405,1
1421157819543,local,bitDepthReduction,1023,1
1421157821011,local,checkIfSubtitlesAvailable,1466,1
1421157823797,local,checkIfSubtitlesExists,2785,1
1421157825238,local,getDefaultSubtitle,1441,1
1421157826369,local,translateSubtitleToLanguage,1130,1
1421157826369,local,getSubtitles,6825,1
1421157826727,local,applySubtitles,357,1
1421157826727,local,videoProvisioner,48012,1
1421157835635,local,scaleVideo,26707,1
1421157836743,local,transcodeVideo,1108,1
