timestamp,selflet 
1428057924379,10
1428057925382,11
1428057925486,12
1428057923927,13
1428057924526,14
1428057927721,15
1428057925073,16
1428057926231,17
1428057925402,18
1428057924380,19
1428057924465,20
1428057927623,21
1428057924445,2
1428057924428,22
1428057925583,23
1428057923176,24
1428057928489,25
1428057925354,26
1428057925245,27
1428057924423,28
1428057924379,29
1428057923986,30
1428057927621,31
1428057924393,3
1428057994430,32
1428057994256,33
1428057993154,34
1428057994215,35
1428057993414,36
1428057996935,37
1428057993678,38
1428057994093,39
1428057994972,40
1428057997005,41
1428057926248,4
1428057994732,42
1428057994176,43
1428057996192,44
1428057994061,45
1428057993980,46
1428057923957,5
1428057924060,6
1428057928745,7
1428057924341,8
1428057923793,9
