timestamp,selflets 
1428057787215,0
1428057792214,0
1428057797214,0
1428057802214,0
1428057807215,0
1428057812214,0
1428057817214,0
1428057822214,0
1428057827214,0
1428057832214,0
1428057837214,0
1428057842215,0
1428057847214,0
1428057852214,0
1428057857214,0
1428057862214,0
1428057867214,0
1428057872214,0
1428057877214,0
1428057882214,0
1428057887215,0
1428057892215,0
1428057897214,0
1428057902214,0
1428057907214,0
1428057912214,0
1428057917215,0
1428057922214,0
1428057927214,23
1428057932214,30
1428057937214,30
1428057942214,30
1428057947214,30
1428057952214,30
1428057957214,30
1428057962214,30
1428057967214,30
1428057972214,30
1428057977214,30
1428057982214,30
1428057987214,30
1428057992214,30
1428057997214,42
1428058002214,45
1428058007215,45
1428058012214,45
1428058017214,45
1428058022214,45
1428058027214,45
1428058032215,45
1428058037215,45
1428058042214,45
1428058047214,45
1428058052215,45
1428058057215,45
1428058062215,45
1428058067214,45
1428058072214,45
1428058077214,45
1428058082214,45
1428058087214,45
1428058092214,45
1428058097214,45
1428058102214,45
1428058107214,45
1428058112214,45
1428058117214,45
1428058122214,45
1428058127214,45
1428058132214,45
1428058137214,45
1428058142214,45
1428058147214,45
1428058152214,45
1428058157214,45
1428058162214,45
1428058167214,45
1428058172214,45
1428058177214,45
1428058182214,45
1428058187214,45
1428058192214,45
1428058197214,45
1428058202214,45
1428058207214,45
1428058212214,45
1428058217214,45
1428058222214,45
1428058227214,45
1428058232214,45
1428058237215,45
1428058242215,45
1428058247214,45
1428058252214,45
1428058257214,45
1428058262214,45
1428058267214,45
1428058272215,45
1428058277214,45
1428058282214,45
1428058287214,45
1428058292214,45
1428058297214,45
1428058302214,45
1428058307214,45
1428058312214,45
1428058317214,45
1428058322214,45
1428058327214,45
1428058332214,45
1428058337215,45
1428058342214,45
1428058347215,45
1428058352214,45
1428058357214,45
1428058362214,45
1428058367214,45
1428058372214,45
1428058377214,45
1428058382214,45
1428058387214,45
1428058392214,45
1428058397215,45
1428058402214,45
1428058407214,45
1428058412214,45
1428058417214,45
1428058422214,45
1428058427215,45
1428058432214,45
1428058437214,45
1428058442214,45
1428058447215,45
1428058452214,45
1428058457214,45
1428058462214,45
1428058467215,45
1428058472215,45
1428058477214,45
1428058482214,45
1428058487214,45
1428058492215,45
1428058497214,45
1428058502214,45
1428058507214,45
1428058512214,45
1428058517214,45
1428058522215,45
1428058527214,45
1428058532214,45
1428058537214,45
1428058542214,45
1428058547214,45
1428058552214,45
1428058557214,45
1428058562215,45
1428058567214,45
1428058572214,45
1428058577214,45
1428058582214,45
1428058587215,45
1428058592214,45
1428058597214,45
1428058602215,45
1428058607214,45
1428058612214,45
1428058617214,45
1428058622215,45
1428058627214,45
1428058632214,45
1428058637214,45
1428058642215,45
1428058647214,45
1428058652214,45
1428058657214,45
1428058662215,45
1428058667214,45
1428058672214,45
1428058677215,45
1428058682214,45
1428058687215,45
1428058692214,45
1428058697214,45
1428058702214,45
1428058707215,45
1428058712214,45
1428058717214,45
1428058722214,45
1428058727215,45
1428058732214,45
1428058737214,45
1428058742214,45
1428058747215,45
1428058752214,45
1428058757214,45
1428058762215,45
1428058767214,45
1428058772214,45
1428058777214,45
1428058782214,45
1428058787214,45
1428058792215,45
1428058797214,45
1428058802214,45
1428058807214,45
1428058812214,45
1428058817215,45
1428058822214,45
1428058827214,45
1428058832214,45
1428058837214,45
1428058842215,45
1428058847214,45
1428058852215,45
1428058857214,45
1428058862214,45
1428058867214,45
1428058872215,45
1428058877214,45
1428058882214,45
1428058887214,45
1428058892214,45
1428058897214,45
1428058902214,45
1428058907215,45
1428058912214,45
1428058917214,45
1428058922215,45
1428058927214,45
1428058932214,45
1428058937214,45
1428058942215,45
1428058947214,45
1428058952214,45
1428058957214,45
1428058962214,45
1428058967215,45
1428058972214,45
1428058977214,45
1428058982215,45
1428058987214,45
1428058992214,45
1428058997214,45
1428059002215,45
1428059007214,45
1428059012214,45
1428059017214,45
1428059022214,45
1428059027214,45
1428059032215,45
1428059037214,45
1428059042214,45
1428059047214,45
1428059052214,45
1428059057214,45
1428059062214,45
1428059067214,45
1428059072214,45
1428059077215,45
1428059082214,45
1428059087214,45
1428059092214,45
1428059097214,45
1428059102214,45
1428059107214,45
1428059112215,45
1428059117214,45
1428059122214,45
1428059127214,45
1428059132214,45
1428059137214,45
1428059142214,45
1428059147215,45
1428059152214,45
1428059157214,45
1428059162214,45
1428059167214,45
1428059172215,45
1428059177214,45
1428059182214,45
1428059187215,45
1428059192214,45
1428059197214,45
1428059202214,45
1428059207214,45
1428059212215,45
1428059217214,45
1428059222214,45
1428059227215,45
1428059232214,45
1428059237214,45
1428059242214,45
1428059247214,45
1428059252215,45
