timestamp,reqType,service,rt,numberOfReqs 
1421847348316,local,scaleVideo,25307,1
1421847348860,local,transcodeVideo,543,1
1421847351453,local,bitDepthReduction,2592,1
1421847351454,local,videoProvisioner,31990,1
1421847361698,local,scaleVideo,26770,1
1421847361879,local,transcodeVideo,179,1
1421847362184,local,bitDepthReduction,304,1
1421847362184,local,videoProvisioner,29386,1
1421847364224,local,checkIfAvailable,4756,1
1421847365692,local,downloadVideo,1468,1
1421847365692,local,getVideoResource,6224,1
1421847390276,local,scaleVideo,24583,1
1421847390872,local,transcodeVideo,595,1
1421847391608,local,bitDepthReduction,736,1
1421847391608,local,videoProvisioner,32141,1
1421847425196,local,checkIfAvailable,718,1
1421847427608,local,downloadVideo,2412,1
1421847427608,local,getVideoResource,3131,1
1421847439598,local,checkIfAvailable,116,1
1421847441816,local,downloadVideo,2216,1
1421847441816,local,getVideoResource,2335,1
1421847450201,local,scaleVideo,22592,1
1421847451447,local,transcodeVideo,1245,1
1421847452848,local,bitDepthReduction,1399,1
1421847452849,local,videoProvisioner,28372,1
1421847459793,local,checkIfAvailable,305,1
1421847459808,local,downloadVideo,14,1
1421847459809,local,getVideoResource,322,1
1421847467486,local,scaleVideo,25669,1
1421847469948,local,checkIfAvailable,5459,1
1421847470832,local,downloadVideo,883,1
1421847470833,local,getVideoResource,6346,1
1421847471289,local,transcodeVideo,3802,1
1421847473253,local,bitDepthReduction,1963,1
1421847473254,local,videoProvisioner,33774,1
1421847478709,local,checkIfAvailable,4216,1
1421847482334,local,downloadVideo,3624,1
1421847482335,local,getVideoResource,7846,1
1421847507468,local,checkIfAvailable,2969,1
1421847508557,local,downloadVideo,1088,1
1421847508557,local,getVideoResource,4060,1
1421847510024,local,checkIfAvailable,522,1
1421847514743,local,downloadVideo,4718,1
1421847514743,local,getVideoResource,5245,1
1421847520981,local,checkIfAvailable,6479,1
1421847526879,local,downloadVideo,5897,1
1421847526880,local,getVideoResource,12380,1
1421847531291,local,checkIfAvailable,11789,1
1421847531292,local,getVideoResource,11792,1
1421847543591,local,scaleVideo,72758,1
1421847544360,local,scaleVideo,62024,1
1421847548106,local,transcodeVideo,3745,1
1421847549358,local,transcodeVideo,5766,1
1421847550162,local,bitDepthReduction,803,1
1421847550163,local,videoProvisioner,85676,1
1421847551728,local,bitDepthReduction,3621,1
1421847551728,local,videoProvisioner,77239,1
1421847564696,local,scaleVideo,56138,1
1421847570017,local,transcodeVideo,5320,1
1421847570364,local,bitDepthReduction,346,1
1421847570365,local,videoProvisioner,65869,1
1421847579646,local,checkIfAvailable,127,1
1421847593007,local,checkIfAvailable,8488,1
1421847593780,local,downloadVideo,772,1
1421847593780,local,getVideoResource,9263,1
1421847602227,local,downloadVideo,22580,1
1421847602227,local,getVideoResource,22711,1
1421847605479,local,scaleVideo,90735,1
1421847610142,local,transcodeVideo,4662,1
1421847615508,local,scaleVideo,88627,1
1421847616003,local,transcodeVideo,494,1
1421847616493,local,bitDepthReduction,490,1
1421847616494,local,videoProvisioner,101995,1
1421847622729,local,bitDepthReduction,12586,1
1421847623283,local,checkIfSubtitlesAvailable,551,1
1421847626741,local,checkIfAvailable,7214,1
1421847626907,local,checkIfSubtitlesExists,3623,1
1421847631466,local,checkIfAvailable,1936,1
1421847636187,local,getDefaultSubtitle,9279,1
1421847636188,local,getSubtitles,13458,1
1421847636538,local,downloadVideo,9796,1
1421847636538,local,getVideoResource,17013,1
1421847638677,local,applySubtitles,2488,1
1421847638677,local,videoProvisioner,129179,1
1421847646499,local,downloadVideo,15032,1
1421847646500,local,getVideoResource,16972,1
1421847659820,local,checkIfAvailable,283,1
1421847660338,local,downloadVideo,517,1
1421847660338,local,getVideoResource,803,1
1421847672946,local,scaleVideo,79165,1
1421847677654,local,transcodeVideo,4707,1
1421847677999,local,bitDepthReduction,343,1
1421847678609,local,checkIfSubtitlesAvailable,605,1
1421847678610,local,getSubtitles,609,1
1421847679785,local,checkIfAvailable,25247,1
1421847679819,local,applySubtitles,1208,1
1421847679820,local,videoProvisioner,95304,1
1421847684446,local,downloadVideo,4660,1
1421847684446,local,getVideoResource,29912,1
1421847691509,local,scaleVideo,231699,1
1421847692828,local,transcodeVideo,1318,1
1421847694470,local,scaleVideo,92242,1
1421847695082,local,checkIfAvailable,531,1
1421847695830,local,downloadVideo,748,1
1421847695831,local,getVideoResource,1287,1
1421847697216,local,transcodeVideo,2745,1
1421847701258,local,bitDepthReduction,8429,1
1421847701298,local,bitDepthReduction,4081,1
1421847702442,local,checkIfSubtitlesAvailable,1141,1
1421847708212,local,checkIfSubtitlesAvailable,6950,1
1421847711215,local,checkIfSubtitlesExists,8772,1
1421847713028,local,checkIfSubtitlesExists,4815,1
1421847719803,local,getDefaultSubtitle,6774,1
1421847721951,local,translateSubtitleToLanguage,2147,1
1421847721952,local,getSubtitles,20692,1
1421847724440,local,getDefaultSubtitle,13224,1
1421847727879,local,translateSubtitleToLanguage,3438,1
1421847727880,local,getSubtitles,26581,1
1421847728515,local,applySubtitles,6562,1
1421847728516,local,videoProvisioner,269030,1
1421847729481,local,applySubtitles,1600,1
1421847729482,local,videoProvisioner,149966,1
1421847734428,local,checkIfAvailable,4943,1
1421847743221,local,downloadVideo,8792,1
1421847743222,local,getVideoResource,13739,1
1421847746325,local,checkIfAvailable,17806,1
1421847754010,local,downloadVideo,7684,1
1421847754011,local,getVideoResource,25495,1
1421847762931,local,scaleVideo,126392,1
1421847770101,local,transcodeVideo,7168,1
1421847778880,local,bitDepthReduction,8778,1
1421847780469,local,checkIfSubtitlesAvailable,1586,1
1421847782234,local,checkIfSubtitlesExists,1764,1
1421847782235,local,getSubtitles,3354,1
1421847782488,local,applySubtitles,253,1
1421847782489,local,videoProvisioner,162964,1
1421847802321,local,checkIfAvailable,19829,1
1421847804251,local,scaleVideo,119804,1
1421847810038,local,downloadVideo,7716,1
1421847810039,local,getVideoResource,27549,1
1421847811682,local,transcodeVideo,7431,1
1421847812404,local,bitDepthReduction,721,1
1421847812405,local,videoProvisioner,157872,1
1421847818730,local,scaleVideo,287437,1
1421847819000,local,transcodeVideo,269,1
1421847820065,local,bitDepthReduction,1064,1
1421847820066,local,videoProvisioner,300566,1
1421847823089,local,checkIfAvailable,3019,1
1421847824481,local,downloadVideo,1390,1
1421847824481,local,getVideoResource,4414,1
1421847828721,local,checkIfAvailable,16313,1
1421847829248,local,downloadVideo,526,1
1421847829254,local,getVideoResource,16848,1
1421847876384,local,scaleVideo,133161,1
1421847876744,local,transcodeVideo,359,1
1421847888754,local,bitDepthReduction,12009,1
1421847890585,local,checkIfSubtitlesAvailable,1828,1
1421847890864,local,scaleVideo,136853,1
1421847893258,local,checkIfSubtitlesExists,2672,1
1421847897421,local,transcodeVideo,6556,1
1421847897967,local,bitDepthReduction,545,1
1421847897968,local,videoProvisioner,198424,1
1421847898954,local,getDefaultSubtitle,5695,1
1421847898955,local,getSubtitles,10200,1
1421847901918,local,applySubtitles,2962,1
1421847901919,local,videoProvisioner,198372,1
1421847902812,local,checkIfAvailable,4841,1
1421847904635,local,downloadVideo,1819,1
1421847904635,local,getVideoResource,6666,1
1421847904644,local,checkIfAvailable,2722,1
1421847926441,local,downloadVideo,21797,1
1421847926442,local,getVideoResource,24522,1
1421847935420,local,scaleVideo,125381,1
1421847936238,local,transcodeVideo,817,1
1421847937843,local,bitDepthReduction,1605,1
1421847937843,local,videoProvisioner,230296,1
1421847938890,local,checkIfAvailable,1044,1
1421847941799,local,scaleVideo,117317,1
1421847944463,local,downloadVideo,5573,1
1421847944464,local,getVideoResource,6620,1
1421847947012,local,transcodeVideo,5212,1
1421847947872,local,bitDepthReduction,859,1
1421847947873,local,videoProvisioner,224316,1
1421847954237,local,scaleVideo,124982,1
1421847954824,local,checkIfAvailable,6948,1
1421847959079,local,downloadVideo,4254,1
1421847959079,local,getVideoResource,11206,1
1421847964754,local,transcodeVideo,10516,1
1421847973787,local,bitDepthReduction,9032,1
1421847973787,local,videoProvisioner,254236,1
1421847990497,local,checkIfAvailable,16707,1
1421847995373,local,downloadVideo,4875,1
1421847995374,local,getVideoResource,21586,1
1421848013954,local,scaleVideo,353615,1
1421848021952,local,scaleVideo,117316,1
1421848022504,local,transcodeVideo,8549,1
1421848023609,local,transcodeVideo,1656,1
1421848026255,local,bitDepthReduction,2645,1
1421848026256,local,videoProvisioner,298703,1
1421848026800,local,checkIfAvailable,541,1
1421848028426,local,downloadVideo,1625,1
1421848028426,local,getVideoResource,2169,1
1421848030756,local,bitDepthReduction,8252,1
1421848030757,local,videoProvisioner,371222,1
1421848031532,local,checkIfAvailable,773,1
1421848042914,local,scaleVideo,116471,1
1421848043026,local,transcodeVideo,111,1
1421848046759,local,scaleVideo,350927,1
1421848048110,local,downloadVideo,16577,1
1421848048112,local,getVideoResource,17355,1
1421848052751,local,transcodeVideo,5991,1
1421848059948,local,bitDepthReduction,16921,1
1421848059949,local,videoProvisioner,304388,1
1421848060823,local,checkIfAvailable,871,1
1421848062946,local,bitDepthReduction,10194,1
1421848062946,local,videoProvisioner,368403,1
1421848063146,local,checkIfAvailable,197,1
1421848063776,local,downloadVideo,2952,1
1421848063777,local,getVideoResource,3828,1
1421848067504,local,scaleVideo,421003,1
1421848071151,local,scaleVideo,126686,1
1421848077656,local,transcodeVideo,6504,1
1421848078951,local,bitDepthReduction,1294,1
1421848078952,local,videoProvisioner,319389,1
1421848080682,local,transcodeVideo,13177,1
1421848081968,local,downloadVideo,18821,1
1421848081969,local,getVideoResource,19022,1
1421848088895,local,bitDepthReduction,8212,1
1421848089788,local,checkIfAvailable,10834,1
1421848094393,local,checkIfSubtitlesAvailable,5495,1
1421848098486,local,scaleVideo,103112,1
1421848099419,local,downloadVideo,9630,1
1421848099421,local,getVideoResource,20469,1
1421848099660,local,transcodeVideo,1173,1
1421848104494,local,bitDepthReduction,4833,1
1421848104496,local,videoProvisioner,316925,1
1421848119703,local,checkIfSubtitlesExists,25309,1
1421848123472,local,checkIfAvailable,18973,1
1421848125185,local,downloadVideo,1713,1
1421848125185,local,getVideoResource,20688,1
1421848125344,local,getDefaultSubtitle,5641,1
1421848125345,local,getSubtitles,36448,1
1421848129258,local,applySubtitles,3913,1
1421848129258,local,videoProvisioner,499730,1
1421848130057,local,checkIfAvailable,796,1
1421848138780,local,downloadVideo,8722,1
1421848138781,local,getVideoResource,9522,1
1421848144608,local,scaleVideo,116181,1
1421848150060,local,transcodeVideo,5451,1
1421848157444,local,bitDepthReduction,7382,1
1421848157445,local,videoProvisioner,361871,1
1421848159870,local,checkIfAvailable,2422,1
1421848167974,local,downloadVideo,8103,1
1421848167975,local,getVideoResource,10530,1
1421848173566,local,scaleVideo,109788,1
1421848175065,local,scaleVideo,126952,1
1421848176194,local,transcodeVideo,2627,1
1421848177306,local,transcodeVideo,2240,1
1421848178981,local,bitDepthReduction,1674,1
1421848178983,local,videoProvisioner,379406,1
1421848179199,local,bitDepthReduction,3004,1
1421848179200,local,videoProvisioner,371622,1
1421848179311,local,checkIfAvailable,108,1
1421848180200,local,checkIfAvailable,1214,1
1421848180778,local,downloadVideo,1466,1
1421848180778,local,getVideoResource,1578,1
1421848182801,local,downloadVideo,2601,1
1421848182801,local,getVideoResource,3818,1
1421848187516,local,scaleVideo,105547,1
1421848192572,local,transcodeVideo,5055,1
1421848198503,local,bitDepthReduction,5930,1
1421848198504,local,videoProvisioner,386926,1
1421848202430,local,checkIfAvailable,3923,1
1421848211804,local,downloadVideo,9373,1
1421848211805,local,getVideoResource,13300,1
1421848241132,local,scaleVideo,115946,1
1421848243108,local,transcodeVideo,1975,1
1421848252024,local,scaleVideo,152603,1
1421848253208,local,transcodeVideo,1183,1
1421848253780,local,bitDepthReduction,10671,1
1421848253781,local,videoProvisioner,434199,1
1421848259624,local,bitDepthReduction,6415,1
1421848259625,local,videoProvisioner,444044,1
1421848260441,local,checkIfAvailable,6657,1
1421848261586,local,checkIfAvailable,1958,1
1421848265828,local,downloadVideo,4242,1
1421848265829,local,getVideoResource,6203,1
1421848276009,local,scaleVideo,108033,1
1421848277486,local,downloadVideo,17043,1
1421848277486,local,getVideoResource,23705,1
1421848278002,local,transcodeVideo,1992,1
1421848282154,local,scaleVideo,101375,1
1421848288111,local,transcodeVideo,5956,1
1421848288416,local,bitDepthReduction,10413,1
1421848288417,local,videoProvisioner,448829,1
1421848289363,local,bitDepthReduction,1251,1
1421848289364,local,videoProvisioner,421768,1
1421848291327,local,checkIfAvailable,1960,1
1421848295380,local,checkIfAvailable,6960,1
1421848296621,local,downloadVideo,5294,1
1421848296622,local,getVideoResource,7258,1
1421848297973,local,scaleVideo,338889,1
1421848298442,local,downloadVideo,3061,1
1421848298443,local,getVideoResource,10026,1
1421848305168,local,transcodeVideo,7194,1
1421848311542,local,bitDepthReduction,6373,1
1421848315316,local,checkIfSubtitlesAvailable,3771,1
1421848329984,local,scaleVideo,191202,1
1421848331128,local,checkIfSubtitlesExists,15811,1
1421848331597,local,transcodeVideo,1612,1
1421848331704,local,scaleVideo,148902,1
1421848339420,local,getDefaultSubtitle,8291,1
1421848339420,local,getSubtitles,27877,1
1421848339462,local,transcodeVideo,7757,1
1421848341047,local,bitDepthReduction,1584,1
1421848341048,local,videoProvisioner,485456,1
1421848341263,local,bitDepthReduction,9665,1
1421848341263,local,videoProvisioner,509676,1
1421848342231,local,checkIfAvailable,1180,1
1421848342652,local,downloadVideo,421,1
1421848342653,local,getVideoResource,1605,1
1421848343408,local,applySubtitles,3987,1
1421848343409,local,videoProvisioner,575843,1
1421848346281,local,checkIfAvailable,2870,1
1421848348077,local,checkIfAvailable,6811,1
1421848353749,local,downloadVideo,7467,1
1421848353750,local,getVideoResource,10341,1
1421848358334,local,scaleVideo,146529,1
1421848359140,local,transcodeVideo,805,1
1421848359622,local,downloadVideo,11544,1
1421848359623,local,getVideoResource,18359,1
1421848384099,local,bitDepthReduction,24957,1
1421848387424,local,checkIfSubtitlesAvailable,3322,1
1421848388782,local,checkIfSubtitlesExists,1357,1
1421848399179,local,scaleVideo,133349,1
1421848401968,local,transcodeVideo,2788,1
1421848404948,local,bitDepthReduction,2979,1
1421848404949,local,videoProvisioner,501341,1
1421848408267,local,getDefaultSubtitle,19484,1
1421848408442,local,translateSubtitleToLanguage,174,1
1421848408442,local,getSubtitles,24342,1
1421848412657,local,checkIfAvailable,7706,1
1421848419619,local,applySubtitles,11176,1
1421848419620,local,videoProvisioner,536019,1
1421848419720,local,scaleVideo,121276,1
1421848420888,local,checkIfAvailable,1265,1
1421848421886,local,transcodeVideo,2165,1
1421848422296,local,scaleVideo,144809,1
1421848422658,local,bitDepthReduction,772,1
1421848422815,local,checkIfSubtitlesAvailable,152,1
