timestamp,reqType,service,rt,numberOfReqs 
1422002123956,local,checkIfAvailable,656,1
1422002124051,local,downloadVideo,91,1
1422002124051,local,getVideoResource,752,1
1422002148374,local,scaleVideo,24322,1
1422002149434,local,transcodeVideo,1059,1
1422002150562,local,bitDepthReduction,1127,1
1422002150563,local,videoProvisioner,27265,1
1422002322038,local,checkIfAvailable,998,1
1422002325050,local,downloadVideo,3011,1
1422002325051,local,getVideoResource,4012,1
1422002348390,local,scaleVideo,23338,1
1422002351522,local,transcodeVideo,3130,1
1422002352703,local,bitDepthReduction,1180,1
1422002352703,local,videoProvisioner,31664,1
1422002434918,local,checkIfAvailable,531,1
1422002436450,local,downloadVideo,1531,1
1422002436451,local,getVideoResource,2065,1
1422002456026,local,scaleVideo,19574,1
1422002456638,local,transcodeVideo,611,1
1422002459082,local,bitDepthReduction,2443,1
1422002459083,local,videoProvisioner,24699,1
1422002475162,local,checkIfAvailable,773,1
1422002479022,local,downloadVideo,3859,1
1422002479023,local,getVideoResource,4634,1
1422002502854,local,scaleVideo,23830,1
1422002503462,local,transcodeVideo,607,1
1422002505474,local,bitDepthReduction,2011,1
1422002505475,local,videoProvisioner,31087,1
1422002539466,local,checkIfAvailable,62,1
1422002546010,local,downloadVideo,6543,1
1422002546011,local,getVideoResource,6608,1
1422002569102,local,scaleVideo,23090,1
1422002570034,local,transcodeVideo,931,1
1422002570258,local,bitDepthReduction,222,1
1422002570259,local,videoProvisioner,30856,1
1422002624542,local,checkIfAvailable,113,1
1422002624954,local,downloadVideo,411,1
1422002624955,local,getVideoResource,527,1
1422002652802,local,scaleVideo,27846,1
1422002654102,local,transcodeVideo,1299,1
1422002654958,local,bitDepthReduction,855,1
1422002655098,local,checkIfSubtitlesAvailable,138,1
1422002657686,local,checkIfSubtitlesExists,2587,1
1422002657687,local,getSubtitles,2728,1
1422002658222,local,applySubtitles,534,1
1422002658223,local,videoProvisioner,33795,1
1422003032890,local,checkIfAvailable,2339,1
1422003034566,local,downloadVideo,1675,1
1422003034567,local,getVideoResource,4017,1
1422003057406,local,scaleVideo,22838,1
1422003057498,local,transcodeVideo,91,1
1422003057702,local,bitDepthReduction,203,1
1422003057922,local,checkIfSubtitlesAvailable,218,1
1422003060798,local,checkIfSubtitlesExists,2875,1
1422003063494,local,getDefaultSubtitle,2694,1
1422003063562,local,translateSubtitleToLanguage,67,1
1422003063563,local,getSubtitles,5860,1
1422003064218,local,applySubtitles,655,1
1422003064219,local,videoProvisioner,33669,1
1422003104014,local,checkIfAvailable,2776,1
1422003104574,local,downloadVideo,559,1
1422003104575,local,getVideoResource,3338,1
1422003116874,local,scaleVideo,12299,1
1422003117702,local,transcodeVideo,827,1
1422003117806,local,bitDepthReduction,103,1
1422003118026,local,checkIfSubtitlesAvailable,219,1
1422003120090,local,checkIfSubtitlesExists,2063,1
1422003120091,local,getSubtitles,2284,1
1422003120510,local,applySubtitles,418,1
1422003120511,local,videoProvisioner,19274,1
1422003249070,local,checkIfAvailable,1140,1
1422003249566,local,downloadVideo,495,1
1422003249567,local,getVideoResource,1638,1
1422003273402,local,scaleVideo,23835,1
1422003273450,local,transcodeVideo,47,1
1422003273538,local,bitDepthReduction,87,1
1422003273539,local,videoProvisioner,25610,1
1422003304466,local,checkIfAvailable,9859,1
1422003306434,local,downloadVideo,1967,1
1422003306435,local,getVideoResource,11829,1
1422003334018,local,scaleVideo,27583,1
1422003334690,local,transcodeVideo,671,1
1422003337062,local,bitDepthReduction,2371,1
1422003337063,local,videoProvisioner,42457,1
1422003565066,local,checkIfAvailable,1809,1
1422003567306,local,downloadVideo,2239,1
1422003567307,local,getVideoResource,4051,1
1422003592646,local,scaleVideo,25338,1
1422003593058,local,transcodeVideo,411,1
1422003594450,local,bitDepthReduction,1391,1
1422003594746,local,checkIfSubtitlesAvailable,294,1
1422003595518,local,checkIfSubtitlesExists,771,1
1422003596102,local,getDefaultSubtitle,583,1
1422003596103,local,getSubtitles,1652,1
1422003596502,local,applySubtitles,398,1
1422003596503,local,videoProvisioner,33247,1
