timestamp,reqType,service,rt,numberOfReqs 
1421830978985,local,checkIfAvailable,2727,1
1421830981832,local,downloadVideo,2843,1
1421830981833,local,getVideoResource,5576,1
1421831006848,local,checkIfAvailable,580,1
1421831013043,local,scaleVideo,31209,1
1421831013572,local,downloadVideo,6723,1
1421831013573,local,getVideoResource,7306,1
1421831016215,local,transcodeVideo,3170,1
1421831017120,local,bitDepthReduction,904,1
1421831017121,local,videoProvisioner,40865,1
1421831027888,local,checkIfAvailable,1618,1
1421831027889,local,getVideoResource,1620,1
1421831037129,local,scaleVideo,23556,1
1421831037403,local,transcodeVideo,272,1
1421831038466,local,bitDepthReduction,1062,1
1421831038467,local,videoProvisioner,32201,1
1421831086324,local,checkIfAvailable,49,1
1421831089389,local,downloadVideo,3064,1
1421831089391,local,getVideoResource,3117,1
1421831099994,local,scaleVideo,72101,1
1421831100782,local,transcodeVideo,787,1
1421831100998,local,bitDepthReduction,215,1
1421831100999,local,videoProvisioner,74731,1
1421831114175,local,scaleVideo,24783,1
1421831115239,local,transcodeVideo,1063,1
1421831116415,local,bitDepthReduction,1175,1
1421831116416,local,videoProvisioner,30143,1
1421831206407,local,checkIfAvailable,123,1
1421831206408,local,getVideoResource,125,1
1421831217213,local,checkIfAvailable,927,1
1421831221984,local,downloadVideo,4769,1
1421831221985,local,getVideoResource,5700,1
1421831250188,local,scaleVideo,28202,1
1421831250881,local,transcodeVideo,692,1
1421831252683,local,checkIfAvailable,6390,1
1421831252712,local,downloadVideo,27,1
1421831252713,local,getVideoResource,6425,1
1421831257686,local,bitDepthReduction,6804,1
1421831257687,local,videoProvisioner,41403,1
1421831277000,local,checkIfAvailable,705,1
1421831277001,local,getVideoResource,711,1
1421831278628,local,scaleVideo,25914,1
1421831281540,local,transcodeVideo,2911,1
1421831286296,local,bitDepthReduction,4755,1
1421831286297,local,videoProvisioner,40009,1
1421831301871,local,scaleVideo,24869,1
1421831302751,local,transcodeVideo,879,1
1421831304216,local,checkIfAvailable,1254,1
1421831305809,local,bitDepthReduction,3057,1
1421831306051,local,checkIfSubtitlesAvailable,235,1
1421831306152,local,downloadVideo,1929,1
1421831306153,local,getVideoResource,3195,1
1421831308532,local,checkIfSubtitlesExists,2480,1
1421831308771,local,scaleVideo,102362,1
1421831308836,local,getDefaultSubtitle,303,1
1421831309640,local,translateSubtitleToLanguage,803,1
1421831309641,local,getSubtitles,3830,1
1421831309802,local,applySubtitles,160,1
1421831309803,local,videoProvisioner,33514,1
1421831313589,local,transcodeVideo,4817,1
1421831313936,local,bitDepthReduction,344,1
1421831314264,local,checkIfSubtitlesAvailable,326,1
1421831315903,local,checkIfSubtitlesExists,1638,1
1421831315970,local,getDefaultSubtitle,65,1
1421831315971,local,getSubtitles,2034,1
1421831316021,local,applySubtitles,49,1
1421831316022,local,videoProvisioner,109740,1
1421831318667,local,checkIfAvailable,2374,1
1421831318668,local,getVideoResource,2376,1
1421831330954,local,scaleVideo,24800,1
1421831331024,local,transcodeVideo,69,1
1421831333303,local,bitDepthReduction,2278,1
1421831333304,local,videoProvisioner,30346,1
1421831356267,local,scaleVideo,37598,1
1421831356547,local,transcodeVideo,279,1
1421831357015,local,bitDepthReduction,466,1
1421831357016,local,videoProvisioner,40725,1
1421831357215,local,checkIfAvailable,920,1
1421831358083,local,downloadVideo,867,1
1421831358084,local,getVideoResource,1790,1
1421831368387,local,scaleVideo,10302,1
1421831370279,local,transcodeVideo,1891,1
1421831371847,local,bitDepthReduction,1567,1
1421831371848,local,videoProvisioner,15555,1
1421831376375,local,checkIfAvailable,80,1
1421831377931,local,downloadVideo,1555,1
1421831377932,local,getVideoResource,1638,1
1421831402021,local,scaleVideo,24088,1
1421831405143,local,transcodeVideo,3121,1
1421831408031,local,bitDepthReduction,2887,1
1421831408032,local,videoProvisioner,31738,1
1421831422987,local,checkIfAvailable,24,1
1421831424255,local,downloadVideo,1267,1
1421831424256,local,getVideoResource,1293,1
1421831443251,local,checkIfAvailable,286,1
1421831445231,local,downloadVideo,1979,1
1421831445232,local,getVideoResource,2268,1
1421831448497,local,scaleVideo,24240,1
1421831448947,local,transcodeVideo,450,1
1421831449447,local,bitDepthReduction,499,1
1421831449448,local,videoProvisioner,26486,1
1421831453754,local,checkIfAvailable,4121,1
1421831454415,local,scaleVideo,9183,1
1421831454625,local,downloadVideo,870,1
1421831454626,local,getVideoResource,4994,1
1421831454906,local,transcodeVideo,490,1
1421831455425,local,bitDepthReduction,518,1
1421831455425,local,videoProvisioner,12461,1
1421831463005,local,checkIfAvailable,39,1
1421831463064,local,downloadVideo,57,1
1421831463065,local,getVideoResource,100,1
1421831481994,local,scaleVideo,27367,1
1421831482008,local,transcodeVideo,13,1
1421831485592,local,bitDepthReduction,3583,1
1421831485592,local,videoProvisioner,35961,1
