timestamp,selflets 
1424524460812,0
1424524465812,0
1424524470812,0
1424524475812,0
1424524480812,0
1424524485812,0
1424524490812,0
1424524495812,0
1424524500812,0
1424524505812,0
1424524510812,0
1424524515812,0
1424524520812,0
1424524525812,0
1424524530812,0
1424524535812,0
1424524540812,0
1424524545812,0
1424524550813,0
1424524555812,0
1424524560812,0
1424524565812,0
1424524570813,0
1424524575812,0
1424524580813,0
1424524585812,0
1424524590812,0
1424524595812,0
1424524600812,0
1424524605812,0
1424524610812,0
1424524615812,0
1424524620812,0
1424524625812,1
1424524630812,3
1424524635812,3
1424524640813,3
1424524645812,3
1424524650812,3
1424524655812,3
1424524660813,3
1424524665812,3
1424524670812,3
1424524675812,3
1424524680812,3
1424524685813,3
1424524690812,3
1424524695812,3
1424524700812,3
1424524705812,3
1424524710812,3
1424524715812,3
1424524720812,3
1424524725812,3
1424524730813,3
1424524735812,3
1424524740812,3
1424524745812,3
1424524750812,3
1424524755813,3
1424524760812,3
1424524765812,3
1424524770812,3
1424524775813,3
1424524780812,3
1424524785812,3
1424524790812,3
1424524795812,3
1424524800812,3
1424524805812,3
1424524810813,3
1424524815812,3
1424524820812,3
1424524825812,3
1424524830812,3
1424524835812,3
1424524840812,3
1424524845812,3
1424524850812,3
1424524855813,3
1424524860812,3
1424524865812,3
1424524870812,3
1424524875812,3
1424524880812,3
1424524885812,3
1424524890812,3
1424524895813,3
1424524900812,3
1424524905812,3
1424524910812,3
1424524915813,3
1424524920812,3
1424524925812,3
1424524930812,3
1424524935812,5
1424524940812,5
1424524945812,5
1424524950812,6
1424524955812,6
1424524960812,6
1424524965813,6
1424524970812,6
1424524975813,6
1424524980812,6
1424524985813,6
1424524990813,6
1424524995812,6
1424525000812,6
1424525005812,6
1424525010812,6
1424525015813,6
1424525020812,6
1424525025812,6
1424525030813,6
1424525035812,6
1424525040812,6
1424525045812,6
1424525050812,6
1424525055812,6
1424525060813,6
1424525065812,6
1424525070812,6
1424525075812,6
1424525080813,6
1424525085812,6
1424525090813,6
1424525095812,6
1424525100812,6
1424525105813,6
1424525110812,6
1424525115812,6
1424525120813,6
1424525125813,6
1424525130812,6
1424525135812,6
1424525140812,6
1424525145812,6
1424525150812,6
1424525155813,6
1424525160812,6
1424525165812,6
1424525170812,6
1424525175812,6
1424525180812,6
1424525185812,6
1424525190812,6
1424525195812,6
1424525200813,6
1424525205812,6
1424525210812,6
1424525215812,6
1424525220812,6
1424525225812,6
1424525230812,6
1424525235812,6
1424525240812,6
1424525245812,6
1424525250812,6
1424525255812,6
1424525260813,6
1424525265812,6
1424525270812,6
1424525275812,6
1424525280812,7
1424525285813,7
1424525290812,7
1424525295812,7
1424525300812,7
1424525305812,7
1424525310813,7
1424525315812,7
1424525320812,7
1424525325813,7
1424525330812,7
1424525335812,7
1424525340812,7
1424525345812,8
1424525350812,8
1424525355813,8
1424525360812,8
1424525365812,8
1424525370812,8
1424525375812,8
1424525380812,8
1424525385812,8
1424525390812,8
1424525395812,8
1424525400812,8
1424525405812,9
1424525410812,9
1424525415812,9
1424525420813,9
1424525425812,9
1424525430813,9
1424525435812,9
1424525440812,9
1424525445812,9
1424525450812,9
1424525455812,9
1424525460812,9
1424525465812,9
1424525470812,9
1424525475812,9
1424525480812,9
1424525485813,9
1424525490812,9
1424525495812,9
1424525500812,9
1424525505812,9
1424525510812,9
1424525515812,9
1424525520812,9
1424525525812,9
1424525530812,9
1424525535812,9
1424525540812,9
1424525545812,9
1424525550813,9
1424525555813,9
1424525560812,9
1424525565812,9
1424525570812,9
1424525575812,9
1424525580812,9
1424525585812,9
1424525590812,9
1424525595812,9
1424525600812,9
1424525605812,9
1424525610813,9
1424525615812,9
1424525620812,9
1424525625812,9
1424525630812,9
1424525635812,9
1424525640812,9
1424525645812,10
1424525650812,10
1424525655813,10
1424525660812,10
1424525665812,10
1424525670812,10
1424525675813,10
1424525680812,10
1424525685812,10
1424525690812,10
1424525695812,10
1424525700812,10
1424525705812,11
1424525710812,11
1424525715812,11
1424525720812,11
1424525725812,11
1424525730812,11
1424525735812,11
1424525740812,11
1424525745812,11
1424525750813,11
1424525755812,11
1424525760812,11
1424525765812,12
1424525770812,12
1424525775812,12
1424525780812,12
1424525785812,12
1424525790812,12
1424525795813,12
1424525800812,12
1424525805813,12
1424525810812,12
1424525815812,12
1424525820813,12
1424525825812,12
1424525830813,12
1424525835812,12
1424525840812,12
1424525845812,12
1424525850813,12
1424525855812,12
1424525860812,12
1424525865812,12
1424525870812,12
1424525875812,12
1424525880812,12
1424525885813,12
1424525890812,12
1424525895812,12
1424525900812,12
1424525905812,12
1424525910812,12
1424525915812,12
1424525920812,12
1424525925812,12
1424525930812,12
1424525935812,12
1424525940812,12
1424525945812,12
1424525950812,12
1424525955812,12
1424525960812,12
1424525965812,12
1424525970812,12
1424525975813,12
1424525980812,12
1424525985812,12
1424525990812,12
1424525995812,12
1424526000812,12
1424526005812,12
1424526010812,12
1424526015812,12
1424526020812,12
1424526025813,12
1424526030812,12
1424526035813,12
1424526040812,12
1424526045812,12
1424526050812,12
1424526055812,13
1424526060812,13
1424526065812,13
1424526070812,13
1424526075812,14
1424526080812,14
1424526085812,14
1424526090812,14
1424526095812,14
1424526100812,14
1424526105812,14
1424526110812,14
1424526115812,14
1424526120812,14
1424526125812,14
1424526130812,14
1424526135813,14
1424526140812,14
1424526145812,14
1424526150812,14
1424526155812,14
1424526160813,15
1424526165812,15
1424526170813,15
1424526175812,15
1424526180813,15
1424526185812,15
1424526190812,15
1424526195812,15
1424526200812,15
1424526205812,15
1424526210812,15
1424526215812,15
1424526220812,15
1424526225813,15
1424526230812,15
1424526235813,15
1424526240812,15
1424526245812,15
1424526250812,15
1424526255812,15
1424526260812,15
1424526265812,15
1424526270812,15
1424526275812,15
1424526280813,15
1424526285812,15
1424526290812,15
1424526295812,15
1424526300812,15
1424526305812,15
1424526310812,15
1424526315812,15
1424526320812,15
1424526325813,15
1424526330812,15
1424526335813,15
1424526340812,15
1424526345812,15
1424526350812,15
1424526355812,15
1424526360812,15
1424526365812,16
1424526370812,16
1424526375812,16
1424526380813,16
1424526385812,16
1424526390812,16
1424526395812,16
1424526400812,16
1424526405812,16
1424526410812,16
1424526415812,16
1424526420812,16
1424526425812,16
1424526430812,16
1424526435812,16
1424526440812,16
1424526445812,16
1424526450812,16
1424526455813,17
1424526460812,17
1424526465813,17
1424526470812,17
1424526475813,17
1424526480812,17
1424526485812,17
1424526490812,17
1424526495812,18
1424526500813,18
1424526505813,18
1424526510812,18
1424526515812,18
1424526520812,18
1424526525812,18
1424526530812,18
1424526535812,18
1424526540812,18
1424526545812,18
1424526550812,18
1424526555812,18
1424526560812,18
1424526565812,18
1424526570812,18
1424526575812,18
1424526580812,18
1424526585812,18
1424526590812,18
1424526595812,18
1424526600812,18
1424526605812,18
1424526610813,18
1424526615812,18
1424526620812,18
1424526625812,18
1424526630812,18
1424526635813,18
1424526640812,18
1424526645812,18
1424526650812,18
1424526655812,18
1424526660812,18
1424526665812,18
1424526670812,18
1424526675812,19
1424526680812,19
1424526685812,19
1424526690812,19
1424526695812,19
1424526700812,19
1424526705812,19
1424526710812,19
1424526715812,19
1424526720812,19
1424526725812,19
1424526730812,19
1424526735812,19
1424526740813,19
1424526745812,19
1424526750813,19
1424526755812,19
1424526760812,19
1424526765812,19
1424526770813,19
1424526775812,19
1424526780812,19
1424526785813,19
1424526790812,19
1424526795813,19
1424526800812,19
1424526805812,19
1424526810812,19
1424526815812,19
1424526820812,19
1424526825812,19
1424526830812,19
1424526835812,19
1424526840812,19
1424526845812,19
1424526850812,19
1424526855812,19
1424526860812,19
1424526865812,19
1424526870812,19
1424526875812,19
1424526880812,19
1424526885812,19
1424526890812,19
1424526895812,19
1424526900812,19
1424526905812,19
1424526910812,19
1424526915812,20
1424526920812,20
1424526925812,20
1424526930812,20
1424526935812,20
1424526940812,20
1424526945812,20
1424526950812,20
1424526955812,20
1424526960812,20
1424526965812,20
1424526970812,20
1424526975812,20
1424526980812,20
1424526985812,20
1424526990812,20
1424526995812,20
1424527000813,20
1424527005812,20
1424527010812,20
1424527015812,20
1424527020812,20
1424527025812,20
1424527030812,20
1424527035812,21
1424527040812,21
1424527045813,21
1424527050812,21
1424527055812,22
1424527060813,22
1424527065812,22
1424527070812,22
1424527075812,23
1424527080812,23
1424527085812,23
1424527090812,23
1424527095812,23
1424527100812,23
1424527105812,23
1424527110812,23
1424527115813,23
1424527120812,23
1424527125812,23
1424527130812,23
1424527135812,23
1424527140813,23
1424527145812,23
1424527150813,23
1424527155812,23
1424527160812,23
1424527165812,23
1424527170812,23
1424527175812,23
1424527180812,23
1424527185812,23
1424527190812,23
1424527195812,23
1424527200812,23
1424527205812,23
1424527210812,23
1424527215812,23
1424527220812,23
1424527225812,23
1424527230812,23
1424527235812,23
1424527240812,23
1424527245812,23
1424527250813,23
1424527255812,23
1424527260812,23
1424527265812,23
1424527270812,23
1424527275812,23
1424527280812,23
1424527285812,23
1424527290812,23
1424527295812,23
1424527300813,23
1424527305812,23
1424527310812,23
1424527315812,23
1424527320812,23
1424527325812,23
1424527330812,23
1424527335812,23
1424527340812,23
1424527345812,23
1424527350812,23
1424527355813,23
1424527360812,23
1424527365813,23
1424527370812,23
1424527375813,23
1424527380812,23
1424527385812,23
1424527390812,24
1424527395812,24
1424527400812,24
1424527405812,24
1424527410812,24
1424527415812,24
1424527420812,24
1424527425812,24
1424527430813,24
1424527435812,24
1424527440812,24
1424527445813,24
1424527450812,24
1424527455813,24
1424527460812,24
1424527465812,24
1424527470813,24
1424527475812,24
1424527480813,24
1424527485812,24
1424527490812,24
1424527495813,24
1424527500813,24
1424527505812,24
1424527510812,24
1424527515812,24
1424527520812,24
1424527525812,24
1424527530812,24
1424527535812,24
1424527540812,24
1424527545812,24
1424527550812,24
1424527555812,24
1424527560812,24
1424527565812,24
1424527570812,24
1424527575812,24
1424527580812,24
1424527585812,24
1424527590812,24
1424527595812,24
1424527600812,24
1424527605812,24
1424527610812,24
1424527615812,24
1424527620812,24
1424527625812,24
1424527630812,24
1424527635813,25
1424527640813,25
1424527645812,25
1424527650812,26
1424527655812,26
1424527660812,26
1424527665812,26
1424527670812,26
1424527675812,26
1424527680812,26
1424527685812,26
1424527690812,26
1424527695812,26
1424527700813,26
1424527705812,26
1424527710812,26
1424527715812,26
1424527720812,26
1424527725813,26
1424527730812,26
1424527735812,26
1424527740812,26
1424527745813,26
1424527750812,26
1424527755812,26
1424527760812,25
1424527765812,25
1424527770813,25
1424527775812,25
1424527780812,24
1424527785813,24
1424527790812,24
1424527795813,24
1424527800813,24
1424527805812,24
1424527810813,24
1424527815812,24
1424527820813,24
1424527825812,24
1424527830812,24
1424527835812,23
1424527840812,23
1424527845812,23
1424527850812,23
1424527855812,24
1424527860812,24
1424527865812,24
1424527870812,24
1424527875812,24
1424527880812,24
1424527885812,24
1424527890812,24
1424527895812,24
1424527900812,24
1424527905812,24
1424527910812,24
1424527915812,24
1424527920813,24
1424527925812,24
1424527930812,24
1424527935812,24
1424527940813,24
1424527945812,24
1424527950812,24
1424527955812,24
1424527960812,24
1424527965812,24
1424527970813,24
1424527975812,24
1424527980812,24
1424527985812,24
1424527990812,24
1424527995812,24
1424528000812,24
1424528005812,24
1424528010812,24
1424528015812,24
1424528020812,24
1424528025812,24
1424528030812,24
1424528035813,24
1424528040812,24
1424528045812,24
1424528050812,24
1424528055812,24
1424528060813,24
1424528065812,24
1424528070812,24
1424528075812,24
1424528080812,24
1424528085813,24
1424528090812,24
1424528095812,24
1424528100812,24
1424528105812,25
1424528110812,25
1424528115813,25
1424528120812,25
1424528125812,27
1424528130812,27
1424528135813,27
1424528140812,27
1424528145812,27
1424528150812,27
1424528155812,27
1424528160812,27
1424528165812,27
1424528170812,27
1424528175813,27
1424528180812,27
1424528185812,26
1424528190812,26
1424528195813,25
1424528200812,25
1424528205812,25
1424528210812,25
1424528215812,25
1424528220812,25
1424528225812,24
1424528230812,24
1424528235812,24
1424528240813,24
1424528245812,24
1424528250812,24
1424528255812,24
1424528260812,24
1424528265812,24
1424528270812,24
1424528275812,24
1424528280812,24
1424528285812,24
1424528290812,24
1424528295812,24
1424528300812,24
1424528305812,24
1424528310813,24
1424528315813,24
1424528320812,24
1424528325812,24
1424528330812,24
1424528335812,24
1424528340812,24
1424528345812,24
1424528350812,24
1424528355812,24
1424528360812,24
1424528365812,24
1424528370812,24
1424528375812,24
1424528380812,24
1424528385812,24
1424528390812,24
1424528395813,24
1424528400812,24
1424528405812,24
1424528410812,24
1424528415812,24
1424528420813,24
1424528425812,25
1424528430812,25
1424528435812,25
1424528440813,25
1424528445812,25
1424528450812,25
1424528455812,25
1424528460812,25
1424528465812,25
1424528470812,25
1424528475812,25
1424528480812,25
1424528485812,25
1424528490812,25
1424528495812,26
1424528500812,26
1424528505812,26
1424528510812,26
1424528515812,26
1424528520812,26
1424528525812,26
1424528530812,26
1424528535812,27
1424528540812,27
1424528545813,27
1424528550813,27
1424528555812,27
1424528560812,27
1424528565812,27
1424528570812,27
1424528575812,27
1424528580812,27
1424528585812,27
1424528590812,27
1424528595812,27
1424528600812,27
1424528605813,27
1424528610812,27
1424528615812,27
1424528620812,27
1424528625813,27
1424528630812,27
1424528635812,27
1424528640812,27
1424528645812,27
1424528650812,27
1424528655812,27
1424528660813,27
1424528665812,27
1424528670813,27
1424528675812,27
1424528680812,27
1424528685812,27
1424528690812,27
1424528695813,27
1424528700812,27
1424528705812,27
1424528710812,27
1424528715813,27
1424528720812,27
1424528725812,27
1424528730812,27
1424528735812,28
1424528740812,28
1424528745812,29
1424528750812,29
1424528755812,30
1424528760812,30
1424528765812,30
1424528770812,30
1424528775812,29
1424528780812,29
1424528785812,29
1424528790812,29
1424528795812,29
1424528800812,29
1424528805812,29
1424528810812,29
1424528815812,29
1424528820812,29
1424528825812,29
1424528830812,29
1424528835812,29
1424528840812,29
1424528845813,29
1424528850812,29
1424528855812,28
1424528860813,28
1424528865812,28
1424528870812,27
1424528875812,27
1424528880813,27
1424528885812,27
1424528890813,27
1424528895812,27
1424528900812,27
1424528905812,27
1424528910812,27
1424528915812,27
1424528920813,27
1424528925812,27
1424528930812,27
1424528935812,27
1424528940812,27
1424528945812,27
1424528950812,27
1424528955812,27
1424528960812,27
1424528965812,27
1424528970812,27
1424528975812,27
1424528980812,27
