timestamp,selflet 
1424538865075,100
1424538894428,101
1424525402371,10
1424538900543,102
1424539210150,103
1424539279641,104
1424539288034,105
1424539520123,106
1424539532268,107
1424539574016,108
1424539819201,109
1424539825317,110
1424539825060,111
1424525643110,11
1424540128040,112
1424540130704,113
1424540131311,114
1424540431261,115
1424540436345,116
1424540445214,117
1424540738686,118
1424540756752,119
1424540782737,120
1424541044316,121
1424525701700,12
1424541158325,122
1424541191582,123
1424541389062,124
1424541435071,125
1424541524661,126
1424541733270,127
1424541768858,128
1424541771046,129
1424542064753,130
1424542076051,131
1424525759954,13
1424542123746,132
1424542379886,133
1424542395867,134
1424542462234,135
1424542733227,136
1424542779265,137
1424542797929,138
1424543067939,139
1424543067953,140
1424543070860,141
1424526053138,14
1424543397857,142
1424544890393,143
1424545517887,144
1424545533630,145
1424545540926,146
1424526072861,15
1424526155062,16
1424526360261,17
1424526452025,18
1424526492793,19
1424526671626,20
1424526912353,21
1424524625078,2
1424527032796,22
1424527053034,23
1424527074066,24
1424527384501,25
1424527633310,26
1424527645008,27
1424527764364,28
1424527780435,29
1424527853749,30
1424528101781,31
1424524624096,3
1424528121200,32
1424528121790,33
1424528420095,34
1424528490352,35
1424528532094,36
1424528731038,37
1424528743289,38
1424528752752,39
1424529049595,40
1424529110317,41
1424524625869,4
1424529119618,42
1424529370169,43
1424529389215,44
1424529413409,45
1424529705293,46
1424529757739,47
1424529773881,48
1424530043999,49
1424530065573,50
1424530070590,51
1424524933648,5
1424530398328,52
1424530405813,53
1424530408894,54
1424530839430,55
1424530885801,56
1424530905676,57
1424531147057,58
1424531158887,59
1424531159274,60
1424531456567,61
1424524934427,6
1424531465923,62
1424531479595,63
1424531771359,64
1424531794271,65
1424532186300,66
1424532214684,67
1424532219152,68
1424532523123,69
1424532538030,70
1424532992076,71
1424524944791,7
1424533295942,72
1424533940488,73
1424534020629,74
1424534901424,75
1424535595117,76
1424535626941,77
1424535649360,78
1424536205234,79
1424536227987,80
1424536230150,81
1424525274463,8
1424536614558,82
1424536650522,83
1424536650321,84
1424537006815,85
1424537007626,86
1424537054620,87
1424537410102,88
1424537422373,89
1424537523171,90
1424537771723,91
1424525344110,9
1424537834564,92
1424537870701,93
1424538076751,94
1424538117217,95
1424538158869,96
1424538555887,97
1424538685664,98
1424538725090,99
