timestamp,selflet,started,ended,lifetime 
1424874317786,100,1424870871675,1424874317785,3446110
1424873750638,101,1424870874826,1424873750637,2875811
1424860820544,10,1424854386900,1424860820543,6433643
1424873879336,102,1424871173562,1424873879336,2705774
1424873908086,103,1424871202319,1424873908085,2705766
1424874036329,104,1424871310591,1424874036329,2725738
1424874224797,105,1424871519078,1424874224797,2705719
1424875170765,106,1424871854563,1424875170765,3316202
1424875755043,107,1424873049317,1424875755043,2705726
1424876063870,108,1424873058061,1424876063870,3005809
1424876128499,109,1424873112656,1424876128498,3015842
1424877180568,110,1424874474921,1424877180567,2705646
1424857802115,11,1424854486070,1424857802114,3316044
1424857911703,12,1424854885814,1424857911703,3025889
1424861227163,13,1424854923821,1424861227163,6303342
1424857905017,14,1424854999101,1424857905017,2905916
1424858178381,15,1424855472605,1424858178381,2705776
1424862338661,16,1424855494655,1424862338661,6844006
1424861939301,17,1424855505850,1424861939301,6433451
1424859331218,19,1424855905059,1424859331217,3426158
1424859326426,20,1424855920330,1424859326426,3406096
1424859899509,21,1424856413390,1424859899508,3486118
1424856284352,2,1424853488533,1424856284352,2795819
1424863328806,23,1424856464721,1424863328805,6864084
1424860160814,24,1424856764744,1424860160813,3396069
1424859539876,25,1424856774073,1424859539876,2765803
1424859821478,27,1424857095738,1424859821478,2725740
1424859859354,28,1424857153560,1424859859354,2705794
1424864059920,30,1424857405946,1424864059920,6653974
1424860208182,31,1424857452414,1424860208181,2755767
1424860081524,3,1424853487650,1424860081524,6593874
1424874989875,32,1424857453786,1424874989875,17536089
1424860580314,33,1424857874540,1424860580314,2705774
1424864269637,34,1424857905782,1424864269637,6363855
1424860727143,35,1424857911321,1424860727142,2815821
1424861009844,36,1424858304136,1424861009843,2705707
1424861110034,37,1424858344292,1424861110034,2765742
1424861989812,38,1424858463620,1424861989812,3526192
1424861719657,39,1424858653675,1424861719656,3065981
1424861673405,40,1424858687554,1424861673404,2985850
1424861428441,41,1424858702689,1424861428440,2725751
1424856194566,4,1424853488812,1424856194566,2705754
1424861884449,42,1424859058536,1424861884449,2825913
1424862248241,43,1424859242376,1424862248240,3005864
1424862703007,44,1424859627108,1424862703007,3075899
1424862379119,45,1424859673381,1424862379119,2705738
1424862732423,46,1424859676541,1424862732423,3055882
1424862658617,47,1424859952885,1424862658617,2705732
1424863330740,48,1424860284856,1424863330739,3045883
1424863042727,49,1424860336971,1424863042727,2705756
1424863288784,50,1424860422925,1424863288784,2865859
1424863288280,51,1424860582572,1424863288279,2705707
1424856632918,5,1424853837045,1424856632918,2795873
1424863904858,52,1424860588778,1424863904858,3316080
1424863465646,53,1424860759938,1424863465646,2705708
1424864159788,55,1424861454101,1424864159788,2705687
1424870185297,56,1424863631529,1424870185296,6553767
1424866658468,57,1424863662559,1424866658467,2995908
1424866856536,58,1424863660537,1424866856535,3195998
1424867703009,59,1424864847096,1424867703008,2855912
1424867857426,60,1424864851565,1424867857425,3005860
1424871902553,61,1424864868284,1424871902553,7034269
1424874832584,6,1424853837860,1424874832584,20994724
1424871890291,62,1424865246083,1424871890290,6644207
1424868111783,63,1424865325933,1424868111783,2785850
1424871878702,64,1424865454995,1424871878701,6423706
1424869447889,65,1424865981697,1424869447889,3466192
1424872370707,66,1424866067017,1424872370707,6303690
1424869376592,67,1424866100570,1424869376592,3276022
1424872628456,68,1424866324956,1424872628455,6303499
1424872842678,69,1424866339067,1424872842678,6503611
1424870356535,70,1424866910412,1424870356535,3446123
1424877125944,71,1424866922544,1424877125944,10203400
1424856621921,7,1424853856152,1424856621920,2765768
1424870062579,72,1424866956555,1424870062579,3106024
1424870967990,73,1424867456709,1424870967989,3511280
1424870298440,74,1424867522632,1424870298440,2775808
1424870854346,75,1424867628310,1424870854345,3226035
1424870701750,76,1424867835914,1424870701750,2865836
1424871141262,77,1424867865240,1424871141262,3276022
1424874259355,78,1424867885917,1424874259355,6373438
1424871518567,79,1424868172463,1424871518567,3346104
1424871219361,80,1424868263519,1424871219361,2955842
1424871226602,81,1424868290647,1424871226601,2935954
1424857302983,8,1424854167016,1424857302983,3135967
1424871219127,82,1424868513373,1424871219126,2705753
1424871755370,83,1424868569281,1424871755369,3186088
1424871341316,84,1424868635578,1424871341316,2705738
1424871694089,85,1424868838266,1424871694089,2855823
1424872223222,86,1424868847083,1424872223222,3376139
1424871786649,87,1424868860783,1424871786649,2925866
1424872331252,88,1424869175188,1424872331252,3156064
1424872578663,89,1424869242559,1424872578663,3336104
1424872199325,90,1424869243491,1424872199325,2955834
1424872479608,91,1424869513771,1424872479607,2965836
1424860688843,9,1424854225168,1424860688843,6463675
1424872275286,92,1424869519555,1424872275285,2755730
1424872519807,93,1424869533921,1424872519806,2985885
1424876764444,94,1424869860359,1424876764444,6904085
1424872579419,95,1424869863648,1424872579419,2715771
1424873285657,96,1424870539900,1424873285657,2745757
1424873313852,97,1424870608067,1424873313851,2705784
1424873370464,98,1424870624733,1424873370463,2745730
1424873876525,99,1424870860590,1424873876525,3015935
