timestamp,selflet,utilization 
1424956331257,100,0.0
1424956336245,100,0.0
1424956341257,100,0.0
1424956346246,100,0.0
1424956351246,100,0.0
1424956356246,100,0.0
1424956361245,100,0.0
1424956366246,100,0.0
1424956371246,100,0.0
1424956376246,100,0.0
1424956381246,100,0.0
1424956386246,100,0.0
1424956391245,100,0.0
1424956396245,100,0.0
1424956401246,100,0.0
1424956406246,100,0.0
1424956411246,100,0.0
1424956416246,100,0.0
1424956421245,100,0.0
1424956426246,100,0.0
1424956431246,100,0.0
1424956436246,100,0.0
1424956441246,100,0.0
1424956446245,100,0.0
1424956451246,100,0.0
1424956456246,100,0.0
1424956461245,100,0.0
1424956466246,100,0.0
1424956471250,100,0.0225
1424956476248,100,0.0225
1424956481248,100,0.0225
1424956486247,100,0.0225
1424956491247,100,0.0225
1424956496247,100,0.0225
1424956501252,100,0.31166666666666676
1424956506252,100,0.31166666666666676
1424956511249,100,0.31166666666666676
1424956516247,100,0.31166666666666676
1424956521248,100,0.31166666666666676
1424956526251,100,0.31166666666666676
1424956531247,100,0.31166666666666676
1424956536246,100,0.31166666666666676
1424956541246,100,0.31166666666666676
1424956546246,100,0.32166666666666677
1424956551250,100,0.3341666666666667
1424956556248,100,0.3566666666666667
1424956561251,100,0.3566666666666667
1424956566247,100,0.6125
1424956571253,100,0.6125
1424956576247,100,0.6125
1424956581248,100,0.8683333333333334
1424956586247,100,0.8683333333333334
1424956591247,100,0.8458333333333333
1424956596246,100,0.8458333333333333
1424956601247,100,0.8458333333333333
1424956606246,100,0.8458333333333333
1424956611246,100,0.8458333333333333
1424956616246,100,0.8458333333333333
1424956621246,100,0.5566666666666666
1424956626245,100,0.5566666666666666
1424956631246,100,0.5566666666666666
1424956636245,100,0.5566666666666666
1424956641246,100,0.5566666666666666
1424956646246,100,0.5566666666666666
1424956651246,100,0.5566666666666666
1424956656245,100,0.5566666666666666
1424956661246,100,0.5566666666666666
1424956666246,100,0.5616666666666668
1424956671245,100,0.5491666666666666
1424956676246,100,0.5266666666666666
1424956681246,100,0.5266666666666666
1424956686245,100,0.27083333333333337
1424956691246,100,0.2808333333333334
1424956696246,100,0.29333333333333333
1424956701247,100,0.0375
1424956706246,100,0.0375
1424956711246,100,0.0375
1424956716246,100,0.0375
1424956721246,100,0.0375
1424956726246,100,0.0375
1424956731245,100,0.0375
1424956736245,100,0.0375
1424956741245,100,0.0375
1424956746245,100,0.0375
1424956751246,100,0.0375
1424956756245,100,0.0375
1424956761246,100,0.29333333333333333
1424956766246,100,0.29333333333333333
1424956771246,100,0.29333333333333333
1424956776246,100,0.3158333333333333
1424956781249,100,0.3383333333333334
1424956786247,100,0.32333333333333336
1424956791246,100,0.32333333333333336
1424956796246,100,0.34583333333333327
1424956801247,100,0.34583333333333327
1424956806246,100,0.34583333333333327
1424956811247,100,0.3358333333333333
1424956816246,100,0.5683333333333334
1424956821246,100,0.5791666666666666
1424956826246,100,0.5791666666666666
1424956831248,100,0.8350000000000001
1424956836247,100,0.8350000000000001
1424956841249,100,0.8350000000000001
1424956846247,100,0.8350000000000001
1424956851246,100,0.8350000000000001
1424956856246,100,1.0
1424956861248,100,1.0
1424956866246,100,1.0
1424956871249,100,1.0
1424956876246,100,1.0
1424956881247,100,1.0
1424956886246,100,1.0
1424956891246,100,1.0
1424956896245,100,1.0
1424956901246,100,1.0
1424956906245,100,1.0
1424956911245,100,1.0
1424956916246,100,1.0
1424956921245,100,1.0
1424956926246,100,1.0
1424956931247,100,1.0
1424956936245,100,0.8008333333333334
1424956941245,100,0.79
1424956946245,100,0.79
1424956951246,100,0.5341666666666667
1424956956246,100,0.5341666666666667
1424956961245,100,0.5341666666666667
1424956966245,100,0.5341666666666667
1424956971245,100,0.5341666666666667
1424956976246,100,0.25583333333333336
1424956981245,100,0.25583333333333336
1424956986246,100,0.25583333333333336
1424956991245,100,0.25583333333333336
1424956996245,100,0.018333333333333333
1424957001246,100,0.0
1424957006245,100,0.0
1424957011245,100,0.0
1424957016245,100,0.0
1424957021245,100,0.0
1424957026245,100,0.0
1424957031246,100,0.0225
1424957036246,100,0.0225
1424957041246,100,0.0225
1424957046246,100,0.0225
1424957051245,100,0.0225
1424957056246,100,0.0225
1424957061246,100,0.2783333333333333
1424957066245,100,0.2783333333333333
1424957071245,100,0.2783333333333333
1424957076246,100,0.2783333333333333
1424957081245,100,0.2783333333333333
1424957086246,100,0.2783333333333333
1424957091245,100,0.2783333333333333
1424957096245,100,0.2783333333333333
1424957101245,100,0.2783333333333333
1424957106245,100,0.2783333333333333
1424957111246,100,0.2783333333333333
1424957116245,100,0.2783333333333333
1424957121245,100,0.2783333333333333
1424957126246,100,0.2783333333333333
1424957131245,100,0.2783333333333333
1424957136246,100,0.2783333333333333
1424957141246,100,0.2783333333333333
1424957146245,100,0.2783333333333333
1424957151245,100,0.25583333333333336
1424957156245,100,0.26666666666666666
1424957161245,100,0.26666666666666666
1424957166245,100,0.26666666666666666
1424957171245,100,0.26666666666666666
1424957176245,100,0.26666666666666666
1424957181246,100,0.010833333333333334
1424957186246,100,0.010833333333333334
1424957191246,100,0.020833333333333336
1424957196245,100,0.03333333333333333
1424957201246,100,0.03333333333333333
1424957206246,100,0.03333333333333333
1424957211245,100,0.03333333333333333
1424957216246,100,0.03333333333333333
1424957221245,100,0.2891666666666667
1424957226246,100,0.2891666666666667
1424957231247,100,0.2891666666666667
1424957236246,100,0.2891666666666667
1424957241246,100,0.2891666666666667
1424957246245,100,0.2891666666666667
1424957251246,100,0.2891666666666667
1424957256246,100,0.2891666666666667
1424957261246,100,0.2891666666666667
1424957266246,100,0.2891666666666667
1424957271246,100,0.2891666666666667
1424957276246,100,0.2783333333333333
1424957281247,100,0.28833333333333333
1424957286245,100,0.3008333333333334
1424957291246,100,0.3008333333333334
1424957296245,100,0.3008333333333334
1424957301246,100,0.3008333333333334
1424957306245,100,0.5458333333333334
1424957311246,100,0.5466666666666666
1424957316246,100,0.5341666666666667
1424957321251,100,0.5341666666666667
1424957326246,100,0.5341666666666667
1424957331245,100,0.5341666666666667
1424957336246,100,0.5341666666666667
1424957341246,100,0.2783333333333333
1424957346246,100,0.2783333333333333
1424957351246,100,0.2783333333333333
1424957356246,100,0.2783333333333333
1424957361246,100,0.28833333333333333
1424957366246,100,0.3008333333333334
1424957371246,100,0.3108333333333334
1424957376246,100,0.32333333333333336
1424957381247,100,0.32333333333333336
1424957386246,100,0.5791666666666666
1424957391248,100,0.5791666666666666
1424957396246,100,0.5791666666666666
1424957401246,100,0.5691666666666666
1424957406246,100,0.5566666666666666
1424957411248,100,0.5566666666666666
1424957416245,100,0.5566666666666666
1424957421247,100,0.5566666666666666
1424957426246,100,0.3116666666666667
1424957431246,100,0.3008333333333334
1424957436245,100,0.5458333333333334
1424957441246,100,0.5666666666666667
1424957446247,100,0.6016666666666668
1424957451246,100,0.6016666666666668
1424957456245,100,0.6016666666666668
1424957461246,100,0.6016666666666668
