timestamp,selflet 
1424956330048,100
1424956380060,101
1424940420972,10
1424956427709,102
1424956807477,103
1424956806796,104
1424956814107,105
1424957330830,106
1424957461014,107
1424957495707,108
1424957670847,109
1424957703924,110
1424957876994,111
1424940672821,11
1424958159428,112
1424958195531,113
1424959629381,114
1424960535032,115
1424960562067,116
1424960606541,117
1424940712487,12
1424941050486,13
1424941069821,14
1424941100789,15
1424941510013,16
1424941530379,17
1424941537889,18
1424941841279,19
1424941844164,20
1424941934213,21
1424939624350,2
1424942207739,22
1424942249334,23
1424942258095,24
1424943062592,25
1424943093795,26
1424943092996,27
1424943371249,28
1424943382956,29
1424943386709,30
1424943732076,31
1424939624605,3
1424943815675,32
1424943852045,33
1424944121368,34
1424944157427,35
1424944244259,36
1424944498064,37
1424944549324,38
1424944650807,39
1424944844301,40
1424944860330,41
1424939624216,4
1424944869109,42
1424945155695,43
1424945201693,44
1424945219975,45
1424945532987,46
1424945608829,47
1424945639526,48
1424945840702,49
1424945856027,50
1424945926401,51
1424940043249,5
1424946138965,52
1424946223216,53
1424946241252,54
1424946506116,55
1424946607564,56
1424946676342,57
1424947182048,58
1424947264777,59
1424949361718,60
1424949382266,61
1424940061651,6
1424949399016,62
1424950076612,63
1424951330815,64
1424951380010,65
1424951409745,66
1424951795539,67
1424951810999,68
1424951816487,69
1424952114386,70
1424952155680,71
1424940103216,7
1424952218193,72
1424952796637,73
1424952836461,74
1424952856355,75
1424953279172,76
1424953331131,77
1424953358885,78
1424953904504,79
1424953945203,80
1424954001112,81
1424940371505,8
1424954204622,82
1424954243305,83
1424954250320,84
1424954517401,85
1424954542207,86
1424954540952,87
1424954853172,88
1424954930902,89
1424954935886,90
1424955208501,91
1424940401875,9
1424955221939,92
1424955236502,93
1424955541115,94
1424955544730,95
1424955555650,96
1424955846539,97
1424955943225,98
1424955958816,99
