timestamp,reqType,service,rt,selflet,numberOfReqs 
1424872883754,LocalReqLocalExe,videoProvisioner,30581,100,1
1424872977689,LocalReqLocalExe,checkIfAvailable,146,100,1
1424872977797,LocalReqLocalExe,downloadVideo,107,100,1
1424872977798,LocalReqLocalExe,getVideoResource,255,100,1
1424872998125,LocalReqLocalExe,scaleVideo,20327,100,1
1424872998537,LocalReqLocalExe,transcodeVideo,411,100,1
1424873000525,LocalReqLocalExe,bitDepthReduction,1987,100,1
1424873000526,LocalReqLocalExe,videoProvisioner,22984,100,1
1424873230173,LocalReqLocalExe,checkIfAvailable,230,100,1
1424873231042,LocalReqLocalExe,downloadVideo,868,100,1
1424873231042,LocalReqLocalExe,getVideoResource,1100,100,1
1424873294006,LocalReqLocalExe,scaleVideo,62963,100,1
1424873294549,LocalReqLocalExe,transcodeVideo,543,100,1
1424873296217,LocalReqLocalExe,bitDepthReduction,1667,100,1
1424873296218,LocalReqLocalExe,videoProvisioner,66276,100,1
1424873412921,LocalReqLocalExe,checkIfAvailable,3503,100,1
1424873418474,LocalReqLocalExe,downloadVideo,5552,100,1
1424873418474,LocalReqLocalExe,getVideoResource,9057,100,1
1424873443065,LocalReqLocalExe,scaleVideo,24590,100,1
1424873443669,LocalReqLocalExe,transcodeVideo,603,100,1
1424873447702,LocalReqLocalExe,bitDepthReduction,4032,100,1
1424873447702,LocalReqLocalExe,videoProvisioner,38285,100,1
1424873555458,LocalReqLocalExe,checkIfAvailable,208,100,1
1424873557158,LocalReqLocalExe,downloadVideo,1699,100,1
1424873557158,LocalReqLocalExe,getVideoResource,1908,100,1
1424873581498,LocalReqLocalExe,scaleVideo,24339,100,1
1424873581598,LocalReqLocalExe,transcodeVideo,100,100,1
1424873581654,LocalReqLocalExe,bitDepthReduction,56,100,1
1424873581654,LocalReqLocalExe,videoProvisioner,26405,100,1
1424873589594,LocalReqLocalExe,checkIfAvailable,1934,100,1
1424873592938,LocalReqLocalExe,downloadVideo,3344,100,1
1424873592938,LocalReqLocalExe,getVideoResource,5279,100,1
1424873614522,LocalReqLocalExe,scaleVideo,21583,100,1
1424873616010,LocalReqLocalExe,transcodeVideo,1488,100,1
1424873620110,LocalReqLocalExe,bitDepthReduction,4100,100,1
1424873620110,LocalReqLocalExe,videoProvisioner,32451,100,1
1424873631370,LocalReqLocalExe,checkIfAvailable,1849,100,1
1424873637762,LocalReqLocalExe,downloadVideo,6392,100,1
1424873637762,LocalReqLocalExe,getVideoResource,8242,100,1
1424873660598,LocalReqLocalExe,scaleVideo,22835,100,1
1424873660802,LocalReqLocalExe,transcodeVideo,204,100,1
1424873661694,LocalReqLocalExe,bitDepthReduction,892,100,1
1424873661694,LocalReqLocalExe,videoProvisioner,32174,100,1
1424873706989,LocalReqLocalExe,checkIfAvailable,480,100,1
1424873707013,LocalReqLocalExe,downloadVideo,23,100,1
1424873707014,LocalReqLocalExe,getVideoResource,506,100,1
1424873732362,LocalReqLocalExe,scaleVideo,25348,100,1
1424873733166,LocalReqLocalExe,transcodeVideo,804,100,1
1424873733650,LocalReqLocalExe,bitDepthReduction,484,100,1
1424873733650,LocalReqLocalExe,videoProvisioner,27142,100,1
1424873835702,LocalReqLocalExe,checkIfAvailable,890,100,1
1424873837746,LocalReqLocalExe,downloadVideo,2044,100,1
1424873837746,LocalReqLocalExe,getVideoResource,2934,100,1
1424873847034,LocalReqLocalExe,scaleVideo,9288,100,1
1424873847213,LocalReqLocalExe,transcodeVideo,179,100,1
1424873851894,LocalReqLocalExe,bitDepthReduction,4680,100,1
1424873851894,LocalReqLocalExe,videoProvisioner,17082,100,1
1424873855001,LocalReqLocalExe,checkIfAvailable,945,100,1
1424873858161,LocalReqLocalExe,downloadVideo,3159,100,1
1424873858162,LocalReqLocalExe,getVideoResource,4107,100,1
1424873883009,LocalReqLocalExe,scaleVideo,24847,100,1
1424873883998,LocalReqLocalExe,transcodeVideo,988,100,1
1424873884921,LocalReqLocalExe,bitDepthReduction,923,100,1
1424873884922,LocalReqLocalExe,videoProvisioner,30867,100,1
1424873982082,LocalReqLocalExe,checkIfAvailable,2212,100,1
1424873988017,LocalReqLocalExe,downloadVideo,5935,100,1
1424873988018,LocalReqLocalExe,getVideoResource,8149,100,1
1424874008350,LocalReqLocalExe,scaleVideo,20332,100,1
1424874008529,LocalReqLocalExe,transcodeVideo,179,100,1
1424874008889,LocalReqLocalExe,bitDepthReduction,359,100,1
1424874008890,LocalReqLocalExe,videoProvisioner,29021,100,1
1424874037298,LocalReqLocalExe,checkIfAvailable,125,100,1
1424874041145,LocalReqLocalExe,downloadVideo,3846,100,1
1424874041146,LocalReqLocalExe,getVideoResource,3974,100,1
1424874062981,LocalReqLocalExe,scaleVideo,21835,100,1
1424874063270,LocalReqLocalExe,transcodeVideo,288,100,1
1424874063622,LocalReqLocalExe,bitDepthReduction,352,100,1
1424874063622,LocalReqLocalExe,videoProvisioner,26450,100,1
1424874163293,LocalReqLocalExe,checkIfAvailable,57,100,1
1424874164469,LocalReqLocalExe,downloadVideo,1175,100,1
1424874164470,LocalReqLocalExe,getVideoResource,1234,100,1
1424874250014,LocalReqLocalExe,scaleVideo,85544,100,1
1424874250926,LocalReqLocalExe,transcodeVideo,912,100,1
1424874253714,LocalReqLocalExe,bitDepthReduction,2788,100,1
1424874253714,LocalReqLocalExe,videoProvisioner,90478,100,1
1424870982006,LocalReqLocalExe,checkIfAvailable,1277,101,1
1424870984447,LocalReqLocalExe,downloadVideo,2440,101,1
1424870984447,LocalReqLocalExe,getVideoResource,3718,101,1
1424870998250,LocalReqLocalExe,scaleVideo,13802,101,1
